feature_type,sample_size,fold,true_LAM_pred_LAM,true_LAM_pred_MWS,true_MWS_pred_LAM,true_MWS_pred_MWS
tags,25,1,30.34539474,19.65460526,8.881578947,41.11842105
tags,25,2,34.375,15.625,15.95394737,34.04605263
tags,25,3,37.58223684,12.41776316,13.24013158,36.75986842
tags,25,4,30.50986842,19.49013158,15.21381579,34.78618421
tags,25,5,35.11513158,14.88486842,11.75986842,38.24013158
tags,25,6,34.45723684,15.54276316,9.457236842,40.54276316
tags,25,7,37.91118421,12.08881579,10.36184211,39.63815789
tags,25,8,35.52631579,14.47368421,9.703947368,40.29605263
tags,25,9,36.51315789,13.48684211,10.85526316,39.14473684
tags,25,10,31.33223684,18.66776316,9.375,40.625
tags,50,1,34.375,15.625,8.388157895,41.61184211
tags,50,2,39.30921053,10.69078947,14.30921053,35.69078947
tags,50,3,40.95394737,9.046052632,11.51315789,38.48684211
tags,50,4,33.71710526,16.28289474,11.84210526,38.15789474
tags,50,5,40.13157895,9.868421053,11.18421053,38.81578947
tags,50,6,36.67763158,13.32236842,6.578947368,43.42105263
tags,50,7,40.29605263,9.703947368,8.881578947,41.11842105
tags,50,8,38.98026316,11.01973684,8.059210526,41.94078947
tags,50,9,39.80263158,10.19736842,9.539473684,40.46052632
tags,50,10,35.85526316,14.14473684,8.388157895,41.61184211
tags,100,1,37.5,12.5,5.263157895,44.73684211
tags,100,2,43.09210526,6.907894737,9.868421053,40.13157895
tags,100,3,43.09210526,6.907894737,9.210526316,40.78947368
tags,100,4,37.5,12.5,10.52631579,39.47368421
tags,100,5,40.78947368,9.210526316,6.578947368,43.42105263
tags,100,6,41.77631579,8.223684211,7.565789474,42.43421053
tags,100,7,40.78947368,9.210526316,7.894736842,42.10526316
tags,100,8,41.11842105,8.881578947,6.907894737,43.09210526
tags,100,9,44.40789474,5.592105263,6.907894737,43.09210526
tags,100,10,39.80263158,10.19736842,5.921052632,44.07894737
tags,200,1,42.10526316,7.894736842,1.973684211,48.02631579
tags,200,2,46.71052632,3.289473684,4.605263158,45.39473684
tags,200,3,46.05263158,3.947368421,9.868421053,40.13157895
tags,200,4,40.78947368,9.210526316,5.921052632,44.07894737
tags,200,5,46.71052632,3.289473684,3.947368421,46.05263158
tags,200,6,44.73684211,5.263157895,3.947368421,46.05263158
tags,200,7,46.05263158,3.947368421,5.263157895,44.73684211
tags,200,8,44.07894737,5.921052632,5.263157895,44.73684211
tags,200,9,44.07894737,5.921052632,5.921052632,44.07894737
tags,200,10,42.76315789,7.236842105,5.263157895,44.73684211
tags,400,1,43.42105263,6.578947368,1.315789474,48.68421053
tags,400,2,50,0,5.263157895,44.73684211
tags,400,3,46.05263158,3.947368421,0,50
tags,400,4,43.42105263,6.578947368,5.263157895,44.73684211
tags,400,5,50,0,1.315789474,48.68421053
tags,400,6,48.68421053,1.315789474,1.315789474,48.68421053
tags,400,7,50,0,2.631578947,47.36842105
tags,400,8,48.68421053,1.315789474,3.947368421,46.05263158
tags,400,9,48.68421053,1.315789474,2.631578947,47.36842105
tags,400,10,46.05263158,3.947368421,0,50
tokens,25,1,31.25,18.75,7.894736842,42.10526316
tokens,25,2,37.82894737,12.17105263,15.87171053,34.12828947
tokens,25,3,36.51315789,13.48684211,17.02302632,32.97697368
tokens,25,4,31.82565789,18.17434211,19.81907895,30.18092105
tokens,25,5,40.04934211,9.950657895,10.69078947,39.30921053
tokens,25,6,40.37828947,9.621710526,11.01973684,38.98026316
tokens,25,7,38.07565789,11.92434211,11.10197368,38.89802632
tokens,25,8,39.88486842,10.11513158,10.9375,39.0625
tokens,25,9,39.0625,10.9375,12.00657895,37.99342105
tokens,25,10,30.83881579,19.16118421,8.305921053,41.69407895
tokens,50,1,33.55263158,16.44736842,5.592105263,44.40789474
tokens,50,2,40.625,9.375,13.15789474,36.84210526
tokens,50,3,38.98026316,11.01973684,13.32236842,36.67763158
tokens,50,4,35.52631579,14.47368421,16.11842105,33.88157895
tokens,50,5,43.42105263,6.578947368,8.059210526,41.94078947
tokens,50,6,43.42105263,6.578947368,8.388157895,41.61184211
tokens,50,7,40.625,9.375,7.894736842,42.10526316
tokens,50,8,42.76315789,7.236842105,8.223684211,41.77631579
tokens,50,9,41.44736842,8.552631579,7.894736842,42.10526316
tokens,50,10,31.90789474,18.09210526,5.921052632,44.07894737
tokens,100,1,37.17105263,12.82894737,3.289473684,46.71052632
tokens,100,2,44.07894737,5.921052632,11.84210526,38.15789474
tokens,100,3,41.11842105,8.881578947,9.210526316,40.78947368
tokens,100,4,39.14473684,10.85526316,14.80263158,35.19736842
tokens,100,5,46.38157895,3.618421053,5.263157895,44.73684211
tokens,100,6,46.71052632,3.289473684,4.934210526,45.06578947
tokens,100,7,43.09210526,6.907894737,6.578947368,43.42105263
tokens,100,8,47.03947368,2.960526316,5.263157895,44.73684211
tokens,100,9,45.39473684,4.605263158,4.934210526,45.06578947
tokens,100,10,39.14473684,10.85526316,3.289473684,46.71052632
tokens,200,1,40.78947368,9.210526316,3.289473684,46.71052632
tokens,200,2,44.73684211,5.263157895,7.894736842,42.10526316
tokens,200,3,45.39473684,4.605263158,8.552631579,41.44736842
tokens,200,4,42.10526316,7.894736842,8.552631579,41.44736842
tokens,200,5,48.02631579,1.973684211,3.947368421,46.05263158
tokens,200,6,48.02631579,1.973684211,3.947368421,46.05263158
tokens,200,7,45.39473684,4.605263158,4.605263158,45.39473684
tokens,200,8,46.05263158,3.947368421,4.605263158,45.39473684
tokens,200,9,46.05263158,3.947368421,3.947368421,46.05263158
tokens,200,10,39.47368421,10.52631579,3.947368421,46.05263158
tokens,400,1,36.84210526,13.15789474,0,50
tokens,400,2,48.68421053,1.315789474,2.631578947,47.36842105
tokens,400,3,48.68421053,1.315789474,2.631578947,47.36842105
tokens,400,4,46.05263158,3.947368421,9.210526316,40.78947368
tokens,400,5,50,0,1.315789474,48.68421053
tokens,400,6,48.68421053,1.315789474,0,50
tokens,400,7,47.36842105,2.631578947,5.263157895,44.73684211
tokens,400,8,50,0,1.315789474,48.68421053
tokens,400,9,47.36842105,2.631578947,2.631578947,47.36842105
tokens,400,10,44.73684211,5.263157895,1.315789474,48.68421053
