sample_size,group,sample_index
25,1,2
25,1,4
25,1,6
25,1,11
25,1,21
25,1,27
25,1,36
25,1,38
25,1,40
25,1,41
25,1,50
25,1,51
25,1,52
25,1,54
25,1,55
25,1,63
25,1,68
25,1,71
25,1,79
25,1,82
25,1,84
25,1,87
25,1,90
25,1,94
25,1,95
25,1,96
25,1,97
25,1,98
25,1,99
25,1,103
25,1,108
25,1,111
25,1,115
25,1,120
25,1,122
25,1,124
25,1,126
25,1,132
25,1,133
25,1,134
25,1,137
25,1,138
25,1,140
25,1,142
25,1,143
25,1,147
25,1,148
25,1,149
25,1,150
25,1,151
25,1,157
25,1,158
25,1,159
25,1,160
25,1,162
25,1,163
25,1,165
25,1,166
25,1,167
25,1,169
25,1,170
25,1,173
25,1,179
25,1,180
25,1,187
25,1,189
25,1,190
25,1,192
25,1,193
25,1,194
25,1,195
25,1,202
25,1,206
25,1,209
25,1,212
25,1,222
25,1,223
25,1,229
25,1,231
25,1,235
25,1,237
25,1,240
25,1,243
25,1,247
25,1,248
25,1,250
25,1,253
25,1,256
25,1,259
25,1,260
25,1,261
25,1,264
25,1,267
25,1,276
25,1,278
25,1,280
25,1,283
25,2,7
25,2,9
25,2,17
25,2,21
25,2,24
25,2,30
25,2,35
25,2,36
25,2,38
25,2,39
25,2,41
25,2,42
25,2,43
25,2,44
25,2,46
25,2,50
25,2,51
25,2,59
25,2,61
25,2,75
25,2,76
25,2,79
25,2,86
25,2,87
25,2,89
25,2,93
25,2,103
25,2,104
25,2,105
25,2,106
25,2,107
25,2,108
25,2,113
25,2,117
25,2,119
25,2,120
25,2,122
25,2,124
25,2,126
25,2,127
25,2,128
25,2,129
25,2,141
25,2,147
25,2,148
25,2,149
25,2,150
25,2,154
25,2,157
25,2,158
25,2,160
25,2,163
25,2,164
25,2,169
25,2,171
25,2,182
25,2,183
25,2,186
25,2,191
25,2,195
25,2,198
25,2,201
25,2,204
25,2,205
25,2,207
25,2,208
25,2,209
25,2,214
25,2,221
25,2,223
25,2,226
25,2,231
25,2,235
25,2,240
25,2,241
25,2,245
25,2,249
25,2,252
25,2,253
25,2,254
25,2,257
25,2,259
25,2,261
25,2,262
25,2,263
25,2,266
25,2,267
25,2,268
25,2,269
25,2,270
25,2,271
25,2,273
25,2,277
25,2,279
25,2,283
25,2,284
25,2,285
25,2,286
25,2,287
25,3,0
25,3,5
25,3,8
25,3,9
25,3,13
25,3,14
25,3,15
25,3,16
25,3,17
25,3,18
25,3,19
25,3,20
25,3,21
25,3,22
25,3,23
25,3,24
25,3,25
25,3,26
25,3,27
25,3,28
25,3,30
25,3,31
25,3,32
25,3,33
25,3,34
25,3,35
25,3,36
25,3,41
25,3,42
25,3,44
25,3,46
25,3,48
25,3,49
25,3,50
25,3,52
25,3,53
25,3,54
25,3,56
25,3,57
25,3,58
25,3,60
25,3,67
25,3,70
25,3,72
25,3,73
25,3,75
25,3,76
25,3,77
25,3,82
25,3,88
25,3,93
25,3,95
25,3,96
25,3,97
25,3,98
25,3,99
25,3,100
25,3,101
25,3,108
25,3,113
25,3,118
25,3,120
25,3,122
25,3,123
25,3,127
25,3,130
25,3,134
25,3,135
25,3,136
25,3,137
25,3,141
25,3,149
25,3,150
25,3,152
25,3,153
25,3,155
25,3,157
25,3,158
25,3,161
25,3,162
25,3,163
25,3,165
25,3,169
25,3,174
25,3,179
25,3,181
25,3,183
25,3,184
25,3,186
25,3,191
25,3,197
25,3,199
25,3,201
25,3,203
25,3,209
25,3,210
25,3,212
25,3,216
25,3,220
25,3,229
25,3,233
25,3,234
25,3,235
25,3,237
25,3,238
25,3,240
25,3,241
25,3,242
25,3,243
25,3,244
25,3,250
25,3,254
25,3,255
25,3,256
25,3,257
25,3,264
25,3,265
25,3,266
25,3,267
25,3,268
25,3,269
25,3,270
25,3,271
25,3,278
25,3,279
25,3,280
25,3,281
25,3,283
25,4,3
25,4,4
25,4,5
25,4,7
25,4,8
25,4,10
25,4,13
25,4,17
25,4,18
25,4,19
25,4,20
25,4,21
25,4,23
25,4,26
25,4,28
25,4,30
25,4,32
25,4,33
25,4,34
25,4,35
25,4,38
25,4,43
25,4,44
25,4,47
25,4,49
25,4,51
25,4,52
25,4,53
25,4,54
25,4,56
25,4,57
25,4,61
25,4,62
25,4,64
25,4,65
25,4,66
25,4,67
25,4,70
25,4,71
25,4,72
25,4,73
25,4,75
25,4,77
25,4,79
25,4,83
25,4,84
25,4,88
25,4,89
25,4,90
25,4,91
25,4,92
25,4,95
25,4,98
25,4,102
25,4,104
25,4,118
25,4,126
25,4,128
25,4,131
25,4,132
25,4,133
25,4,134
25,4,139
25,4,143
25,4,145
25,4,149
25,4,151
25,4,153
25,4,154
25,4,155
25,4,156
25,4,159
25,4,160
25,4,162
25,4,166
25,4,169
25,4,171
25,4,172
25,4,179
25,4,181
25,4,184
25,4,191
25,4,206
25,4,210
25,4,212
25,4,220
25,4,224
25,4,228
25,4,233
25,4,235
25,4,237
25,4,239
25,4,245
25,4,246
25,4,247
25,4,248
25,4,249
25,4,250
25,4,251
25,4,253
25,4,257
25,4,258
25,4,259
25,4,261
25,4,263
25,4,264
25,4,268
25,4,279
25,4,282
25,4,283
25,4,285
25,5,0
25,5,1
25,5,3
25,5,4
25,5,7
25,5,19
25,5,24
25,5,30
25,5,31
25,5,33
25,5,35
25,5,36
25,5,48
25,5,59
25,5,67
25,5,74
25,5,78
25,5,89
25,5,93
25,5,101
25,5,104
25,5,107
25,5,112
25,5,114
25,5,116
25,5,120
25,5,122
25,5,124
25,5,126
25,5,127
25,5,129
25,5,133
25,5,139
25,5,148
25,5,149
25,5,157
25,5,159
25,5,163
25,5,165
25,5,166
25,5,170
25,5,177
25,5,179
25,5,183
25,5,191
25,5,197
25,5,204
25,5,214
25,5,217
25,5,219
25,5,222
25,5,225
25,5,226
25,5,231
25,5,233
25,5,234
25,5,241
25,5,242
25,5,250
25,5,251
25,5,254
25,5,256
25,5,257
25,5,266
25,5,270
25,5,274
25,5,277
25,5,279
25,5,281
25,6,1
25,6,6
25,6,7
25,6,9
25,6,10
25,6,15
25,6,17
25,6,21
25,6,23
25,6,24
25,6,25
25,6,31
25,6,33
25,6,38
25,6,41
25,6,42
25,6,44
25,6,50
25,6,55
25,6,56
25,6,58
25,6,60
25,6,61
25,6,66
25,6,73
25,6,75
25,6,76
25,6,80
25,6,90
25,6,97
25,6,98
25,6,102
25,6,105
25,6,106
25,6,113
25,6,116
25,6,117
25,6,120
25,6,121
25,6,124
25,6,126
25,6,130
25,6,132
25,6,135
25,6,142
25,6,144
25,6,145
25,6,147
25,6,149
25,6,151
25,6,154
25,6,156
25,6,158
25,6,159
25,6,161
25,6,162
25,6,163
25,6,167
