feature_type,sample_size,group,percentage_LAM,percentage_MWS
tags,25,1,33.68055556,66.31944444
tags,25,2,34.375,65.625
tags,25,3,44.44444444,55.55555556
tags,25,4,38.54166667,61.45833333
tags,25,5,23.95833333,76.04166667
tags,25,6,34.02777778,65.97222222
tags,25,7,31.94444444,68.05555556
tags,25,8,31.25,68.75
tags,25,9,33.68055556,66.31944444
tags,25,10,38.54166667,61.45833333
tags,50,1,28.47222222,71.52777778
tags,50,2,34.72222222,65.27777778
tags,50,3,43.75,56.25
tags,50,4,40.27777778,59.72222222
tags,50,5,25.69444444,74.30555556
tags,50,6,36.11111111,63.88888889
tags,50,7,28.47222222,71.52777778
tags,50,8,29.16666667,70.83333333
tags,50,9,31.25,68.75
tags,50,10,42.36111111,57.63888889
tags,100,1,30.55555556,69.44444444
tags,100,2,33.33333333,66.66666667
tags,100,3,43.05555556,56.94444444
tags,100,4,38.88888889,61.11111111
tags,100,5,31.94444444,68.05555556
tags,100,6,33.33333333,66.66666667
tags,100,7,25,75
tags,100,8,23.61111111,76.38888889
tags,100,9,26.38888889,73.61111111
tags,100,10,45.83333333,54.16666667
tags,200,1,22.22222222,77.77777778
tags,200,2,52.77777778,47.22222222
tags,200,3,50,50
tags,200,4,44.44444444,55.55555556
tags,200,5,33.33333333,66.66666667
tags,200,6,33.33333333,66.66666667
tags,200,7,13.88888889,86.11111111
tags,200,8,25,75
tags,200,9,22.22222222,77.77777778
tags,200,10,27.77777778,72.22222222
tags,400,1,16.66666667,83.33333333
tags,400,2,33.33333333,66.66666667
tags,400,3,44.44444444,55.55555556
tags,400,4,22.22222222,77.77777778
tags,400,5,22.22222222,77.77777778
tags,400,6,11.11111111,88.88888889
tags,400,7,5.555555556,94.44444444
tags,400,8,16.66666667,83.33333333
tags,400,9,5.555555556,94.44444444
tags,400,10,11.11111111,88.88888889
tokens,25,1,43.40277778,56.59722222
tokens,25,2,28.125,71.875
tokens,25,3,32.29166667,67.70833333
tokens,25,4,35.76388889,64.23611111
tokens,25,5,17.36111111,82.63888889
tokens,25,6,23.95833333,76.04166667
tokens,25,7,26.04166667,73.95833333
tokens,25,8,25,75
tokens,25,9,26.38888889,73.61111111
tokens,25,10,36.80555556,63.19444444
tokens,50,1,31.25,68.75
tokens,50,2,27.77777778,72.22222222
tokens,50,3,28.47222222,71.52777778
tokens,50,4,31.94444444,68.05555556
tokens,50,5,15.27777778,84.72222222
tokens,50,6,20.13888889,79.86111111
tokens,50,7,21.52777778,78.47222222
tokens,50,8,20.83333333,79.16666667
tokens,50,9,21.52777778,78.47222222
tokens,50,10,32.63888889,67.36111111
tokens,100,1,26.38888889,73.61111111
tokens,100,2,29.16666667,70.83333333
tokens,100,3,20.83333333,79.16666667
tokens,100,4,29.16666667,70.83333333
tokens,100,5,16.66666667,83.33333333
tokens,100,6,19.44444444,80.55555556
tokens,100,7,19.44444444,80.55555556
tokens,100,8,12.5,87.5
tokens,100,9,18.05555556,81.94444444
tokens,100,10,19.44444444,80.55555556
tokens,200,1,38.88888889,61.11111111
tokens,200,2,33.33333333,66.66666667
tokens,200,3,27.77777778,72.22222222
tokens,200,4,33.33333333,66.66666667
tokens,200,5,16.66666667,83.33333333
tokens,200,6,19.44444444,80.55555556
tokens,200,7,13.88888889,86.11111111
tokens,200,8,11.11111111,88.88888889
tokens,200,9,16.66666667,83.33333333
tokens,200,10,22.22222222,77.77777778
tokens,400,1,22.22222222,77.77777778
tokens,400,2,22.22222222,77.77777778
tokens,400,3,27.77777778,72.22222222
tokens,400,4,27.77777778,72.22222222
tokens,400,5,0,100
tokens,400,6,22.22222222,77.77777778
tokens,400,7,11.11111111,88.88888889
tokens,400,8,5.555555556,94.44444444
tokens,400,9,16.66666667,83.33333333
tokens,400,10,11.11111111,88.88888889
