sample_size,group,%_LAM,%_MWS
25,1,33.6805555556,66.3194444444
25,2,34.375,65.625
25,3,44.4444444444,55.5555555556
25,4,38.5416666667,61.4583333333
25,5,23.9583333333,76.0416666667
25,6,34.0277777778,65.9722222222
25,7,31.9444444444,68.0555555556
25,8,31.25,68.75
25,9,33.6805555556,66.3194444444
25,10,38.5416666667,61.4583333333
50,1,28.4722222222,71.5277777778
50,2,34.7222222222,65.2777777778
50,3,43.75,56.25
50,4,40.2777777778,59.7222222222
50,5,25.6944444444,74.3055555556
50,6,36.1111111111,63.8888888889
50,7,28.4722222222,71.5277777778
50,8,29.1666666667,70.8333333333
50,9,31.25,68.75
50,10,42.3611111111,57.6388888889
100,1,30.5555555556,69.4444444444
100,2,33.3333333333,66.6666666667
100,3,43.0555555556,56.9444444444
100,4,38.8888888889,61.1111111111
100,5,31.9444444444,68.0555555556
100,6,33.3333333333,66.6666666667
100,7,25.0,75.0
100,8,23.6111111111,76.3888888889
100,9,26.3888888889,73.6111111111
100,10,45.8333333333,54.1666666667
200,1,22.2222222222,77.7777777778
200,2,52.7777777778,47.2222222222
200,3,50.0,50.0
200,4,44.4444444444,55.5555555556
200,5,33.3333333333,66.6666666667
200,6,33.3333333333,66.6666666667
200,7,13.8888888889,86.1111111111
200,8,25.0,75.0
200,9,22.2222222222,77.7777777778
200,10,27.7777777778,72.2222222222
400,1,16.6666666667,83.3333333333
400,2,33.3333333333,66.6666666667
400,3,44.4444444444,55.5555555556
400,4,22.2222222222,77.7777777778
400,5,22.2222222222,77.7777777778
400,6,11.1111111111,88.8888888889
400,7,5.55555555556,94.4444444444
400,8,16.6666666667,83.3333333333
400,9,5.55555555556,94.4444444444
400,10,11.1111111111,88.8888888889
