feature_type,sample_size,fold,true_MWS_pred_MWS,true_MWS_pred_PBS,true_PBS_pred_MWS,true_PBS_pred_PBS
tags,25,1,37.6,12.4,18,32
tags,25,2,40.2,9.8,19,31
tags,25,3,34.8,15.2,15.8,34.2
tags,25,4,34.4,15.6,16.6,33.4
tags,25,5,35.8,14.2,15.8,34.2
tags,25,6,36.8,13.2,17.6,32.4
tags,25,7,35.54216867,14.45783133,13.05220884,36.94779116
tags,25,8,34.93975904,15.06024096,12.24899598,37.75100402
tags,25,9,34.93975904,15.06024096,11.04417671,38.95582329
tags,25,10,37.14859438,12.85140562,11.64658635,38.35341365
tags,50,1,42,8,18,32
tags,50,2,42.4,7.6,13.2,36.8
tags,50,3,36.8,13.2,9.6,40.4
tags,50,4,40,10,14.4,35.6
tags,50,5,40,10,13.2,36.8
tags,50,6,40.8,9.2,14,36
tags,50,7,37.6,12.4,12.4,37.6
tags,50,8,39.2,10.8,8,42
tags,50,9,36.69354839,13.30645161,6.451612903,43.5483871
tags,50,10,41.53225806,8.467741935,8.870967742,41.12903226
tags,100,1,42.85714286,7.142857143,13.49206349,36.50793651
tags,100,2,46.03174603,3.968253968,12.6984127,37.3015873
tags,100,3,38.0952381,11.9047619,9.523809524,40.47619048
tags,100,4,35.71428571,14.28571429,9.523809524,40.47619048
tags,100,5,44.35483871,5.64516129,13.70967742,36.29032258
tags,100,6,44.35483871,5.64516129,15.32258065,34.67741935
tags,100,7,37.90322581,12.09677419,8.064516129,41.93548387
tags,100,8,41.12903226,8.870967742,5.64516129,44.35483871
tags,100,9,39.51612903,10.48387097,4.032258065,45.96774194
tags,100,10,43.5483871,6.451612903,1.612903226,48.38709677
tags,200,1,42.1875,7.8125,7.8125,42.1875
tags,200,2,50,0,6.25,43.75
tags,200,3,37.09677419,12.90322581,4.838709677,45.16129032
tags,200,4,43.5483871,6.451612903,1.612903226,48.38709677
tags,200,5,48.38709677,1.612903226,3.225806452,46.77419355
tags,200,6,50,0,9.677419355,40.32258065
tags,200,7,45.16129032,4.838709677,8.064516129,41.93548387
tags,200,8,43.5483871,6.451612903,3.225806452,46.77419355
tags,200,9,40.32258065,9.677419355,0,50
tags,200,10,46.77419355,3.225806452,0,50
tags,400,1,46.875,3.125,6.25,43.75
tags,400,2,50,0,6.25,43.75
tags,400,3,43.75,6.25,3.125,46.875
tags,400,4,46.875,3.125,0,50
tags,400,5,50,0,0,50
tags,400,6,50,0,6.25,43.75
tags,400,7,46.66666667,3.333333333,3.333333333,46.66666667
tags,400,8,50,0,0,50
tags,400,9,43.33333333,6.666666667,0,50
tags,400,10,50,0,3.333333333,46.66666667
tokens,25,1,39.4,10.6,12.8,37.2
tokens,25,2,42,8,13.2,36.8
tokens,25,3,35.2,14.8,13.6,36.4
tokens,25,4,36.8,13.2,12.6,37.4
tokens,25,5,36.4,13.6,18,32
tokens,25,6,39,11,14,36
tokens,25,7,31.72690763,18.27309237,11.04417671,38.95582329
tokens,25,8,31.3253012,18.6746988,11.64658635,38.35341365
tokens,25,9,32.53012048,17.46987952,10.64257028,39.35742972
tokens,25,10,35.74297189,14.25702811,10.44176707,39.55823293
tokens,50,1,42,8,10,40
tokens,50,2,46,4,11.2,38.8
tokens,50,3,35.2,14.8,9.6,40.4
tokens,50,4,40,10,12.8,37.2
tokens,50,5,39.2,10.8,15.2,34.8
tokens,50,6,42.8,7.2,15.2,34.8
tokens,50,7,36,14,10.4,39.6
tokens,50,8,36.4,13.6,8,42
tokens,50,9,36.69354839,13.30645161,7.661290323,42.33870968
tokens,50,10,41.93548387,8.064516129,7.661290323,42.33870968
tokens,100,1,42.06349206,7.936507937,6.349206349,43.65079365
tokens,100,2,46.82539683,3.174603175,7.936507937,42.06349206
tokens,100,3,34.12698413,15.87301587,7.936507937,42.06349206
tokens,100,4,42.06349206,7.936507937,11.11111111,38.88888889
tokens,100,5,44.35483871,5.64516129,12.09677419,37.90322581
tokens,100,6,46.77419355,3.225806452,16.93548387,33.06451613
tokens,100,7,37.90322581,12.09677419,10.48387097,39.51612903
tokens,100,8,37.09677419,12.90322581,6.451612903,43.5483871
tokens,100,9,38.70967742,11.29032258,5.64516129,44.35483871
tokens,100,10,46.77419355,3.225806452,8.064516129,41.93548387
tokens,200,1,45.3125,4.6875,1.5625,48.4375
tokens,200,2,50,0,12.5,37.5
tokens,200,3,38.70967742,11.29032258,3.225806452,46.77419355
tokens,200,4,46.77419355,3.225806452,4.838709677,45.16129032
tokens,200,5,48.38709677,1.612903226,9.677419355,40.32258065
tokens,200,6,48.38709677,1.612903226,9.677419355,40.32258065
tokens,200,7,38.70967742,11.29032258,1.612903226,48.38709677
tokens,200,8,41.93548387,8.064516129,4.838709677,45.16129032
tokens,200,9,37.09677419,12.90322581,1.612903226,48.38709677
tokens,200,10,48.38709677,1.612903226,3.225806452,46.77419355
tokens,400,1,46.875,3.125,3.125,46.875
tokens,400,2,50,0,15.625,34.375
tokens,400,3,43.75,6.25,0,50
tokens,400,4,50,0,3.125,46.875
tokens,400,5,46.875,3.125,0,50
tokens,400,6,50,0,3.125,46.875
tokens,400,7,40,10,0,50
tokens,400,8,43.33333333,6.666666667,3.333333333,46.66666667
tokens,400,9,40,10,0,50
tokens,400,10,50,0,3.333333333,46.66666667
