sample_size,fold,true_MWS_pred_MWS,true_MWS_pred_PBS,true_PBS_pred_MWS,true_PBS_pred_PBS
25,1,37.6,12.4,18.0,32.0
25,2,40.2,9.8,19.0,31.0
25,3,34.8,15.2,15.8,34.2
25,4,34.4,15.6,16.6,33.4
25,5,35.8,14.2,15.8,34.2
25,6,36.8,13.2,17.6,32.4
25,7,35.5421686747,14.4578313253,13.0522088353,36.9477911647
25,8,34.9397590361,15.0602409639,12.2489959839,37.7510040161
25,9,34.9397590361,15.0602409639,11.0441767068,38.9558232932
25,10,37.1485943775,12.8514056225,11.6465863454,38.3534136546
50,1,42.0,8.0,18.0,32.0
50,2,42.4,7.6,13.2,36.8
50,3,36.8,13.2,9.6,40.4
50,4,40.0,10.0,14.4,35.6
50,5,40.0,10.0,13.2,36.8
50,6,40.8,9.2,14.0,36.0
50,7,37.6,12.4,12.4,37.6
50,8,39.2,10.8,8.0,42.0
50,9,36.6935483871,13.3064516129,6.45161290323,43.5483870968
50,10,41.5322580645,8.46774193548,8.87096774194,41.1290322581
100,1,42.8571428571,7.14285714286,13.4920634921,36.5079365079
100,2,46.0317460317,3.96825396825,12.6984126984,37.3015873016
100,3,38.0952380952,11.9047619048,9.52380952381,40.4761904762
100,4,35.7142857143,14.2857142857,9.52380952381,40.4761904762
100,5,44.3548387097,5.64516129032,13.7096774194,36.2903225806
100,6,44.3548387097,5.64516129032,15.3225806452,34.6774193548
100,7,37.9032258065,12.0967741935,8.06451612903,41.935483871
100,8,41.1290322581,8.87096774194,5.64516129032,44.3548387097
100,9,39.5161290323,10.4838709677,4.03225806452,45.9677419355
100,10,43.5483870968,6.45161290323,1.61290322581,48.3870967742
200,1,42.1875,7.8125,7.8125,42.1875
200,2,50.0,0.0,6.25,43.75
200,3,37.0967741935,12.9032258065,4.83870967742,45.1612903226
200,4,43.5483870968,6.45161290323,1.61290322581,48.3870967742
200,5,48.3870967742,1.61290322581,3.22580645161,46.7741935484
200,6,50.0,0.0,9.67741935484,40.3225806452
200,7,45.1612903226,4.83870967742,8.06451612903,41.935483871
200,8,43.5483870968,6.45161290323,3.22580645161,46.7741935484
200,9,40.3225806452,9.67741935484,0.0,50.0
200,10,46.7741935484,3.22580645161,0.0,50.0
400,1,46.875,3.125,6.25,43.75
400,2,50.0,0.0,6.25,43.75
400,3,43.75,6.25,3.125,46.875
400,4,46.875,3.125,0.0,50.0
400,5,50.0,0.0,0.0,50.0
400,6,50.0,0.0,6.25,43.75
400,7,46.6666666667,3.33333333333,3.33333333333,46.6666666667
400,8,50.0,0.0,0.0,50.0
400,9,43.3333333333,6.66666666667,0.0,50.0
400,10,50.0,0.0,3.33333333333,46.6666666667
