sample_size,group,sample_index
25,1,0
25,1,4
25,1,14
25,1,15
25,1,17
25,1,18
25,1,19
25,1,22
25,1,23
25,1,24
25,1,25
25,1,26
25,1,29
25,1,32
25,1,34
25,1,39
25,1,40
25,1,48
25,1,50
25,1,51
25,1,68
25,1,71
25,1,75
25,1,87
25,1,93
25,1,94
25,1,96
25,1,98
25,1,99
25,1,103
25,1,106
25,1,111
25,1,114
25,1,120
25,1,122
25,1,124
25,1,127
25,1,136
25,1,138
25,1,140
25,1,143
25,1,145
25,1,150
25,1,157
25,1,159
25,1,170
25,1,192
25,1,200
25,1,202
25,1,205
25,1,215
25,1,229
25,1,230
25,1,231
25,1,235
25,1,237
25,1,248
25,1,256
25,1,257
25,1,259
25,1,260
25,1,264
25,1,265
25,1,271
25,1,281
25,1,286
25,1,287
25,2,1
25,2,4
25,2,6
25,2,12
25,2,22
25,2,28
25,2,38
25,2,39
25,2,40
25,2,44
25,2,50
25,2,57
25,2,59
25,2,73
25,2,76
25,2,79
25,2,82
25,2,84
25,2,86
25,2,87
25,2,91
25,2,92
25,2,101
25,2,103
25,2,105
25,2,106
25,2,113
25,2,114
25,2,119
25,2,122
25,2,124
25,2,125
25,2,129
25,2,134
25,2,137
25,2,144
25,2,145
25,2,148
25,2,149
25,2,150
25,2,153
25,2,154
25,2,163
25,2,165
25,2,180
25,2,182
25,2,183
25,2,191
25,2,193
25,2,194
25,2,195
25,2,205
25,2,210
25,2,214
25,2,219
25,2,220
25,2,223
25,2,224
25,2,230
25,2,240
25,2,244
25,2,249
25,2,250
25,2,252
25,2,253
25,2,255
25,2,256
25,2,257
25,2,263
25,2,266
25,2,268
25,2,273
25,2,282
25,2,284
25,2,286
25,3,0
25,3,7
25,3,9
25,3,11
25,3,14
25,3,21
25,3,22
25,3,23
25,3,27
25,3,30
25,3,31
25,3,32
25,3,34
25,3,35
25,3,38
25,3,40
25,3,43
25,3,44
25,3,48
25,3,50
25,3,51
25,3,53
25,3,57
25,3,59
25,3,61
25,3,64
25,3,71
25,3,73
25,3,75
25,3,76
25,3,78
25,3,81
25,3,85
25,3,86
25,3,87
25,3,95
25,3,96
25,3,97
25,3,98
25,3,99
25,3,100
25,3,101
