sample_size,group,sample_index
25,1,0
25,1,4
25,1,9
25,1,10
25,1,15
25,1,16
25,1,17
25,1,21
25,1,32
25,1,39
25,1,40
25,1,45
25,1,48
25,1,49
25,1,51
25,1,52
25,1,54
25,1,65
25,1,70
25,1,71
25,1,72
25,1,76
25,1,77
25,1,78
25,1,79
25,1,83
25,1,87
25,1,88
25,1,96
25,1,98
25,1,101
25,1,102
25,1,105
25,1,111
25,1,113
25,1,115
25,1,117
25,1,118
25,1,120
25,1,121
25,1,124
25,1,126
25,1,136
25,1,137
25,1,138
25,1,140
25,1,145
25,1,147
25,1,157
25,1,158
25,1,159
25,1,163
25,1,167
25,1,169
25,1,170
25,1,171
25,1,174
25,1,175
25,1,176
25,1,177
25,1,183
25,1,192
25,1,194
25,1,197
25,1,199
25,1,202
25,1,205
25,1,206
25,1,208
25,1,209
25,1,222
25,1,226
25,1,233
25,1,234
25,1,235
25,1,240
25,1,253
25,1,257
25,1,260
25,1,264
25,1,266
25,1,267
25,1,280
25,1,281
25,1,286
25,2,4
25,2,6
25,2,9
25,2,12
25,2,14
25,2,21
25,2,27
25,2,38
25,2,39
25,2,42
25,2,43
25,2,44
25,2,46
25,2,55
25,2,57
25,2,59
25,2,70
25,2,71
25,2,72
25,2,73
25,2,77
25,2,78
25,2,79
25,2,81
25,2,82
25,2,88
25,2,92
25,2,95
25,2,96
25,2,102
25,2,103
25,2,106
25,2,107
25,2,115
25,2,122
25,2,124
25,2,125
25,2,126
25,2,127
25,2,128
25,2,137
25,2,142
25,2,144
25,2,149
25,2,160
25,2,161
25,2,164
25,2,165
25,2,179
25,2,182
25,2,188
25,2,191
25,2,204
25,2,214
25,2,217
25,2,223
25,2,224
25,2,235
25,2,240
25,2,242
25,2,245
25,2,249
25,2,253
25,2,254
25,2,256
25,2,257
25,2,262
25,2,265
25,2,266
25,2,268
25,2,277
25,2,286
25,3,0
25,3,14
25,3,17
25,3,18
25,3,19
25,3,22
25,3,27
25,3,30
25,3,32
25,3,41
25,3,45
25,3,51
25,3,52
25,3,54
25,3,57
25,3,63
25,3,65
25,3,72
25,3,73
25,3,76
25,3,86
25,3,91
25,3,94
25,3,96
25,3,97
25,3,98
25,3,101
