feature_type,sample_size,group,percentage_MWS,percentage_PBS
tags,25,1,76.73611111,23.26388889
tags,25,2,73.95833333,26.04166667
tags,25,3,65.97222222,34.02777778
tags,25,4,72.91666667,27.08333333
tags,25,5,63.54166667,36.45833333
tags,25,6,68.75,31.25
tags,25,7,77.77777778,22.22222222
tags,25,8,71.18055556,28.81944444
tags,25,9,73.95833333,26.04166667
tags,25,10,76.38888889,23.61111111
tags,50,1,76.38888889,23.61111111
tags,50,2,77.08333333,22.91666667
tags,50,3,67.36111111,32.63888889
tags,50,4,74.30555556,25.69444444
tags,50,5,67.36111111,32.63888889
tags,50,6,72.22222222,27.77777778
tags,50,7,82.63888889,17.36111111
tags,50,8,71.52777778,28.47222222
tags,50,9,76.38888889,23.61111111
tags,50,10,75.69444444,24.30555556
tags,100,1,69.44444444,30.55555556
tags,100,2,69.44444444,30.55555556
tags,100,3,75,25
tags,100,4,77.77777778,22.22222222
tags,100,5,65.27777778,34.72222222
tags,100,6,77.77777778,22.22222222
tags,100,7,80.55555556,19.44444444
tags,100,8,69.44444444,30.55555556
tags,100,9,77.77777778,22.22222222
tags,100,10,76.38888889,23.61111111
tags,200,1,75,25
tags,200,2,80.55555556,19.44444444
tags,200,3,69.44444444,30.55555556
tags,200,4,83.33333333,16.66666667
tags,200,5,86.11111111,13.88888889
tags,200,6,88.88888889,11.11111111
tags,200,7,97.22222222,2.777777778
tags,200,8,83.33333333,16.66666667
tags,200,9,86.11111111,13.88888889
tags,200,10,88.88888889,11.11111111
tags,400,1,88.88888889,11.11111111
tags,400,2,94.44444444,5.555555556
tags,400,3,100,0
tags,400,4,94.44444444,5.555555556
tags,400,5,88.88888889,11.11111111
tags,400,6,100,0
tags,400,7,94.44444444,5.555555556
tags,400,8,94.44444444,5.555555556
tags,400,9,94.44444444,5.555555556
tags,400,10,100,0
tokens,25,1,70.48611111,29.51388889
tokens,25,2,75,25
tokens,25,3,77.43055556,22.56944444
tokens,25,4,72.56944444,27.43055556
tokens,25,5,71.52777778,28.47222222
tokens,25,6,78.125,21.875
tokens,25,7,82.98611111,17.01388889
tokens,25,8,75.34722222,24.65277778
tokens,25,9,80.20833333,19.79166667
tokens,25,10,74.30555556,25.69444444
tokens,50,1,72.91666667,27.08333333
tokens,50,2,79.86111111,20.13888889
tokens,50,3,87.5,12.5
tokens,50,4,75.69444444,24.30555556
tokens,50,5,79.16666667,20.83333333
tokens,50,6,77.08333333,22.91666667
tokens,50,7,87.5,12.5
tokens,50,8,80.55555556,19.44444444
tokens,50,9,83.33333333,16.66666667
tokens,50,10,74.30555556,25.69444444
tokens,100,1,70.83333333,29.16666667
tokens,100,2,81.94444444,18.05555556
tokens,100,3,83.33333333,16.66666667
tokens,100,4,79.16666667,20.83333333
tokens,100,5,77.77777778,22.22222222
tokens,100,6,77.77777778,22.22222222
tokens,100,7,87.5,12.5
tokens,100,8,77.77777778,22.22222222
tokens,100,9,86.11111111,13.88888889
tokens,100,10,75,25
tokens,200,1,77.77777778,22.22222222
tokens,200,2,83.33333333,16.66666667
tokens,200,3,88.88888889,11.11111111
tokens,200,4,75,25
tokens,200,5,80.55555556,19.44444444
tokens,200,6,75,25
tokens,200,7,91.66666667,8.333333333
tokens,200,8,80.55555556,19.44444444
tokens,200,9,77.77777778,22.22222222
tokens,200,10,75,25
tokens,400,1,83.33333333,16.66666667
tokens,400,2,94.44444444,5.555555556
tokens,400,3,94.44444444,5.555555556
tokens,400,4,77.77777778,22.22222222
tokens,400,5,83.33333333,16.66666667
tokens,400,6,83.33333333,16.66666667
tokens,400,7,100,0
tokens,400,8,88.88888889,11.11111111
tokens,400,9,100,0
tokens,400,10,77.77777778,22.22222222
