sample_size,group,%_MWS,%_PBS
25,1,76.7361111111,23.2638888889
25,2,73.9583333333,26.0416666667
25,3,65.9722222222,34.0277777778
25,4,72.9166666667,27.0833333333
25,5,63.5416666667,36.4583333333
25,6,68.75,31.25
25,7,77.7777777778,22.2222222222
25,8,71.1805555556,28.8194444444
25,9,73.9583333333,26.0416666667
25,10,76.3888888889,23.6111111111
50,1,76.3888888889,23.6111111111
50,2,77.0833333333,22.9166666667
50,3,67.3611111111,32.6388888889
50,4,74.3055555556,25.6944444444
50,5,67.3611111111,32.6388888889
50,6,72.2222222222,27.7777777778
50,7,82.6388888889,17.3611111111
50,8,71.5277777778,28.4722222222
50,9,76.3888888889,23.6111111111
50,10,75.6944444444,24.3055555556
100,1,69.4444444444,30.5555555556
100,2,69.4444444444,30.5555555556
100,3,75.0,25.0
100,4,77.7777777778,22.2222222222
100,5,65.2777777778,34.7222222222
100,6,77.7777777778,22.2222222222
100,7,80.5555555556,19.4444444444
100,8,69.4444444444,30.5555555556
100,9,77.7777777778,22.2222222222
100,10,76.3888888889,23.6111111111
200,1,75.0,25.0
200,2,80.5555555556,19.4444444444
200,3,69.4444444444,30.5555555556
200,4,83.3333333333,16.6666666667
200,5,86.1111111111,13.8888888889
200,6,88.8888888889,11.1111111111
200,7,97.2222222222,2.77777777778
200,8,83.3333333333,16.6666666667
200,9,86.1111111111,13.8888888889
200,10,88.8888888889,11.1111111111
400,1,88.8888888889,11.1111111111
400,2,94.4444444444,5.55555555556
400,3,100.0,0.0
400,4,94.4444444444,5.55555555556
400,5,88.8888888889,11.1111111111
400,6,100.0,0.0
400,7,94.4444444444,5.55555555556
400,8,94.4444444444,5.55555555556
400,9,94.4444444444,5.55555555556
400,10,100.0,0.0
