sample_size,group,%_MWS,%_PBS
25,1,70.4861111111,29.5138888889
25,2,75.0,25.0
25,3,77.4305555556,22.5694444444
25,4,72.5694444444,27.4305555556
25,5,71.5277777778,28.4722222222
25,6,78.125,21.875
25,7,82.9861111111,17.0138888889
25,8,75.3472222222,24.6527777778
25,9,80.2083333333,19.7916666667
25,10,74.3055555556,25.6944444444
50,1,72.9166666667,27.0833333333
50,2,79.8611111111,20.1388888889
50,3,87.5,12.5
50,4,75.6944444444,24.3055555556
50,5,79.1666666667,20.8333333333
50,6,77.0833333333,22.9166666667
50,7,87.5,12.5
50,8,80.5555555556,19.4444444444
50,9,83.3333333333,16.6666666667
50,10,74.3055555556,25.6944444444
100,1,70.8333333333,29.1666666667
100,2,81.9444444444,18.0555555556
100,3,83.3333333333,16.6666666667
100,4,79.1666666667,20.8333333333
100,5,77.7777777778,22.2222222222
100,6,77.7777777778,22.2222222222
100,7,87.5,12.5
100,8,77.7777777778,22.2222222222
100,9,86.1111111111,13.8888888889
100,10,75.0,25.0
200,1,77.7777777778,22.2222222222
200,2,83.3333333333,16.6666666667
200,3,88.8888888889,11.1111111111
200,4,75.0,25.0
200,5,80.5555555556,19.4444444444
200,6,75.0,25.0
200,7,91.6666666667,8.33333333333
200,8,80.5555555556,19.4444444444
200,9,77.7777777778,22.2222222222
200,10,75.0,25.0
400,1,83.3333333333,16.6666666667
400,2,94.4444444444,5.55555555556
400,3,94.4444444444,5.55555555556
400,4,77.7777777778,22.2222222222
400,5,83.3333333333,16.6666666667
400,6,83.3333333333,16.6666666667
400,7,100.0,0.0
400,8,88.8888888889,11.1111111111
400,9,100.0,0.0
400,10,77.7777777778,22.2222222222
