sample_size,fold,true_LAM_pred_LAM,true_LAM_pred_MWS,true_MWS_pred_LAM,true_MWS_pred_MWS
25,1,27.8963414634,18.4451219512,8.68902439024,44.9695121951
25,2,33.6890243902,12.6524390244,15.1676829268,38.4908536585
25,3,32.6219512195,13.7195121951,20.3506097561,33.3079268293
25,4,27.743902439,18.5975609756,13.6432926829,40.0152439024
25,5,35.5945121951,10.7469512195,10.9756097561,42.6829268293
25,6,36.5091463415,9.83231707317,9.67987804878,43.9786585366
25,7,33.993902439,12.3475609756,10.7469512195,42.9115853659
25,8,36.0518292683,10.2896341463,9.4512195122,44.2073170732
25,9,34.8323170732,11.5091463415,8.99390243902,44.6646341463
25,10,26.2957317073,20.0457317073,5.56402439024,48.0945121951
50,1,31.0975609756,15.243902439,6.40243902439,47.256097561
50,2,37.0426829268,9.2987804878,12.8048780488,40.8536585366
50,3,35.9756097561,10.3658536585,16.6158536585,37.0426829268
50,4,31.8597560976,14.4817073171,9.75609756098,43.9024390244
50,5,39.7865853659,6.55487804878,8.99390243902,44.6646341463
50,6,39.7865853659,6.55487804878,7.7743902439,45.8841463415
50,7,37.3475609756,8.99390243902,8.23170731707,45.4268292683
50,8,38.4146341463,7.92682926829,7.31707317073,46.3414634146
50,9,37.3475609756,8.99390243902,7.46951219512,46.1890243902
50,10,28.9634146341,17.3780487805,3.96341463415,49.6951219512
100,1,35.3658536585,10.9756097561,4.26829268293,49.3902439024
100,2,40.8536585366,5.48780487805,11.2804878049,42.3780487805
100,3,39.6341463415,6.70731707317,10.3658536585,43.2926829268
100,4,36.2804878049,10.0609756098,9.14634146341,44.512195122
100,5,42.6829268293,3.65853658537,4.26829268293,49.3902439024
100,6,41.7682926829,4.57317073171,4.87804878049,48.7804878049
100,7,38.7195121951,7.62195121951,5.79268292683,47.8658536585
100,8,42.6829268293,3.65853658537,4.57317073171,49.0853658537
100,9,42.3780487805,3.96341463415,4.26829268293,49.3902439024
100,10,35.0609756098,11.2804878049,2.13414634146,51.5243902439
200,1,37.8048780488,8.53658536585,4.87804878049,48.7804878049
200,2,43.2926829268,3.0487804878,6.09756097561,47.5609756098
200,3,42.6829268293,3.65853658537,10.3658536585,43.2926829268
200,4,40.243902439,6.09756097561,5.48780487805,48.1707317073
200,5,44.512195122,1.82926829268,2.43902439024,51.2195121951
200,6,44.512195122,1.82926829268,5.48780487805,48.1707317073
200,7,40.8536585366,5.48780487805,6.09756097561,47.5609756098
200,8,43.2926829268,3.0487804878,4.26829268293,49.3902439024
200,9,43.2926829268,3.0487804878,2.43902439024,51.2195121951
200,10,39.6341463415,6.70731707317,3.0487804878,50.6097560976
400,1,31.7073170732,14.6341463415,4.87804878049,48.7804878049
400,2,45.1219512195,1.21951219512,1.21951219512,52.4390243902
400,3,45.1219512195,1.21951219512,4.87804878049,48.7804878049
400,4,42.6829268293,3.65853658537,3.65853658537,50.0
400,5,45.1219512195,1.21951219512,0.0,53.6585365854
400,6,45.1219512195,1.21951219512,2.43902439024,51.2195121951
400,7,42.6829268293,3.65853658537,3.65853658537,50.0
400,8,46.3414634146,0.0,4.87804878049,48.7804878049
400,9,43.9024390244,2.43902439024,0.0,53.6585365854
400,10,41.4634146341,4.87804878049,1.21951219512,52.4390243902
