sample_size,group,sample_index
25,1,0
25,1,3
25,1,6
25,1,7
25,1,8
25,1,10
25,1,15
25,1,17
25,1,21
25,1,27
25,1,36
25,1,38
25,1,39
25,1,40
25,1,41
25,1,43
25,1,45
25,1,46
25,1,48
25,1,50
25,1,52
25,1,54
25,1,57
25,1,58
25,1,62
25,1,63
25,1,64
25,1,66
25,1,70
25,1,71
25,1,72
25,1,73
25,1,77
25,1,78
25,1,79
25,1,81
25,1,82
25,1,83
25,1,87
25,1,89
25,1,90
25,1,93
25,1,98
25,1,101
25,1,102
25,1,105
25,1,111
25,1,115
25,1,117
25,1,120
25,1,122
25,1,124
25,1,132
25,1,133
25,1,136
25,1,137
25,1,138
25,1,140
25,1,141
25,1,142
25,1,143
25,1,146
25,1,147
25,1,148
25,1,152
25,1,156
25,1,157
25,1,158
25,1,160
25,1,162
25,1,163
25,1,167
25,1,169
25,1,170
25,1,171
25,1,173
25,1,174
25,1,175
25,1,176
25,1,177
25,1,180
25,1,181
25,1,182
25,1,183
25,1,185
25,1,188
25,1,189
25,1,190
25,1,192
25,1,193
25,1,194
25,1,199
25,1,201
25,1,202
25,1,205
25,1,206
25,1,208
25,1,209
25,1,215
25,1,216
25,1,218
25,1,222
25,1,225
25,1,226
25,1,229
25,1,233
25,1,235
25,1,237
25,1,240
25,1,253
25,1,257
25,1,260
25,1,261
25,1,265
25,1,267
25,1,268
25,1,269
25,2,5
25,2,12
25,2,30
25,2,35
25,2,36
25,2,37
25,2,39
25,2,43
25,2,44
25,2,46
25,2,49
25,2,50
25,2,55
25,2,57
25,2,58
25,2,70
25,2,71
25,2,72
25,2,73
25,2,77
25,2,78
25,2,79
25,2,86
25,2,92
25,2,93
25,2,95
25,2,96
25,2,103
25,2,104
25,2,106
25,2,107
25,2,108
25,2,109
25,2,110
25,2,122
25,2,124
25,2,126
25,2,127
25,2,128
25,2,135
25,2,141
25,2,144
25,2,151
25,2,154
25,2,157
25,2,160
25,2,161
25,2,163
25,2,175
25,2,182
25,2,186
25,2,194
25,2,197
25,2,204
25,2,205
25,2,214
25,2,224
25,2,240
25,2,242
25,2,250
25,2,253
25,2,262
25,2,266
25,2,267
25,2,268
25,2,269
25,2,270
25,2,271
25,2,284
25,2,285
25,2,286
25,3,4
25,3,14
25,3,15
25,3,16
25,3,18
25,3,19
25,3,20
25,3,21
25,3,22
25,3,24
25,3,25
25,3,26
25,3,27
25,3,28
25,3,30
25,3,31
25,3,33
25,3,34
25,3,36
25,3,41
25,3,42
25,3,49
25,3,50
25,3,51
25,3,53
25,3,55
25,3,56
25,3,57
25,3,58
25,3,61
25,3,63
25,3,64
25,3,65
25,3,67
25,3,69
25,3,73
25,3,75
25,3,76
25,3,77
25,3,89
25,3,96
25,3,97
25,3,98
25,3,99
25,3,107
25,3,122
25,3,134
25,3,135
25,3,136
25,3,137
25,3,142
25,3,150
25,3,151
25,3,153
25,3,157
25,3,158
25,3,163
25,3,165
25,3,166
25,3,167
25,3,180
25,3,183
25,3,195
25,3,204
25,3,213
25,3,223
25,3,232
25,3,233
25,3,238
25,3,239
25,3,240
25,3,241
25,3,242
25,3,243
25,3,244
25,3,246
25,3,249
25,3,251
25,3,255
25,3,256
25,3,258
25,3,261
25,3,264
25,3,265
25,3,267
25,3,268
25,3,270
25,3,271
25,3,284
25,3,287
25,4,1
25,4,2
25,4,3
25,4,7
25,4,13
25,4,17
25,4,19
25,4,29
25,4,35
25,4,38
25,4,48
25,4,49
25,4,50
25,4,51
25,4,52
25,4,53
25,4,57
25,4,60
25,4,62
25,4,63
25,4,64
25,4,65
25,4,71
25,4,72
25,4,73
25,4,74
25,4,75
25,4,77
25,4,78
25,4,79
25,4,81
25,4,82
25,4,88
25,4,89
25,4,90
25,4,93
25,4,100
25,4,101
25,4,104
25,4,105
25,4,106
25,4,112
25,4,114
25,4,118
25,4,120
25,4,125
25,4,142
25,4,143
25,4,146
25,4,149
25,4,150
25,4,151
25,4,159
25,4,162
25,4,174
25,4,188
25,4,194
25,4,199
25,4,203
25,4,205
25,4,207
25,4,215
25,4,216
25,4,217
25,4,232
25,4,233
25,4,234
25,4,235
25,4,237
25,4,238
25,4,240
25,4,241
25,4,242
25,4,243
25,4,244
25,4,245
25,4,246
25,4,247
25,4,250
25,4,252
25,4,256
25,4,257
25,4,258
25,4,259
25,4,260
25,4,261
25,4,262
25,4,265
25,4,266
25,4,267
25,4,268
25,4,269
25,4,270
25,4,279
25,5,19
25,5,27
25,5,33
25,5,47
25,5,57
25,5,59
25,5,73
25,5,75
25,5,77
25,5,84
25,5,87
25,5,93
25,5,119
25,5,124
25,5,148
25,5,149
25,5,150
25,5,158
25,5,192
25,5,203
25,5,204
25,5,205
25,5,209
25,5,220
25,5,222
25,5,223
25,5,232
25,5,235
25,5,241
25,5,242
25,5,243
25,5,254
25,5,255
25,5,256
25,5,257
25,5,263
25,5,277
25,5,279
25,5,281
25,5,283
25,5,287
25,6,6
25,6,9
25,6,12
25,6,19
25,6,27
25,6,28
25,6,38
25,6,42
25,6,46
25,6,50
25,6,53
25,6,57
25,6,60
25,6,67
25,6,70
25,6,71
25,6,73
25,6,81
25,6,91
25,6,94
25,6,100
25,6,101
25,6,102
25,6,104
25,6,105
25,6,116
25,6,129
25,6,133
25,6,144
25,6,146
25,6,147
25,6,149
25,6,151
25,6,152
25,6,154
25,6,155
25,6,156
25,6,157
25,6,158
25,6,161
25,6,162
25,6,163
25,6,164
25,6,166
25,6,169
25,6,173
25,6,174
25,6,185
25,6,206
25,6,209
25,6,210
25,6,211
25,6,213
25,6,231
25,6,240
25,6,241
25,6,257
25,6,271
25,6,281
25,6,282
25,6,283
25,6,284
25,6,285
25,6,287
25,7,4
25,7,7
25,7,15
25,7,17
25,7,18
25,7,20
25,7,21
25,7,22
25,7,23
25,7,25
25,7,27
25,7,30
25,7,31
25,7,32
25,7,34
25,7,35
25,7,36
25,7,37
25,7,42
25,7,46
25,7,47
25,7,49
25,7,50
25,7,51
25,7,53
25,7,54
25,7,55
25,7,56
25,7,59
25,7,60
25,7,63
25,7,71
25,7,72
25,7,73
25,7,74
25,7,84
25,7,85
25,7,93
25,7,109
25,7,112
25,7,113
25,7,114
25,7,115
25,7,118
25,7,119
25,7,121
25,7,122
25,7,142
25,7,153
25,7,158
25,7,160
25,7,162
25,7,168
25,7,175
25,7,177
25,7,182
25,7,185
25,7,187
25,7,193
25,7,195
25,7,218
25,7,238
25,7,254
25,7,256
25,7,257
25,7,268
25,7,270
25,7,279
25,7,282
25,8,1
25,8,24
25,8,26
25,8,36
25,8,47
25,8,50
25,8,51
25,8,55
25,8,56
25,8,57
25,8,58
25,8,59
25,8,62
25,8,64
25,8,66
25,8,67
25,8,68
25,8,69
25,8,83
25,8,92
25,8,101
25,8,103
25,8,138
25,8,139
25,8,141
25,8,142
25,8,144
25,8,147
25,8,149
25,8,150
25,8,157
25,8,160
25,8,162
25,8,165
25,8,166
25,8,172
25,8,177
25,8,183
25,8,203
25,8,209
25,8,210
25,8,211
25,8,212
25,8,213
25,8,217
25,8,221
25,8,222
25,8,223
25,8,229
25,8,230
25,8,231
25,8,232
25,8,233
25,8,234
25,8,241
25,8,242
25,8,243
25,8,244
25,8,246
25,8,247
25,8,250
25,8,252
25,8,255
25,8,256
25,8,265
25,8,275
25,8,277
25,8,285
25,8,287
25,9,29
25,9,30
25,9,31
25,9,41
25,9,42
25,9,43
25,9,44
25,9,46
25,9,47
25,9,48
25,9,49
25,9,50
25,9,55
25,9,56
25,9,58
25,9,59
25,9,61
25,9,62
25,9,63
25,9,65
25,9,66
25,9,84
25,9,85
25,9,86
25,9,88
25,9,91
25,9,96
25,9,97
25,9,102
25,9,105
25,9,114
25,9,128
25,9,134
25,9,135
25,9,136
25,9,137
25,9,140
25,9,141
25,9,142
25,9,157
25,9,158
25,9,163
25,9,169
25,9,196
25,9,199
25,9,201
25,9,202
25,9,203
25,9,207
25,9,210
25,9,215
25,9,221
25,9,222
25,9,223
25,9,228
25,9,229
25,9,232
25,9,233
25,9,234
25,9,235
25,9,236
25,9,239
25,9,240
25,9,241
25,9,243
25,9,244
25,9,249
25,9,255
25,9,256
25,9,262
25,9,266
25,9,275
25,9,277
25,9,280
25,9,283
25,10,17
25,10,18
25,10,24
25,10,26
25,10,27
25,10,29
25,10,35
25,10,45
25,10,56
25,10,74
25,10,75
25,10,77
25,10,78
25,10,79
25,10,82
25,10,83
25,10,85
25,10,89
25,10,91
25,10,92
