feature_type,sample_size,group,percentage_LAM,percentage_MWS
tags,25,1,30.90277778,69.09722222
tags,25,2,32.63888889,67.36111111
tags,25,3,40.97222222,59.02777778
tags,25,4,34.72222222,65.27777778
tags,25,5,21.52777778,78.47222222
tags,25,6,32.29166667,67.70833333
tags,25,7,30.55555556,69.44444444
tags,25,8,27.77777778,72.22222222
tags,25,9,31.25,68.75
tags,25,10,34.02777778,65.97222222
tags,50,1,30.55555556,69.44444444
tags,50,2,37.5,62.5
tags,50,3,43.75,56.25
tags,50,4,37.5,62.5
tags,50,5,27.77777778,72.22222222
tags,50,6,36.80555556,63.19444444
tags,50,7,27.77777778,72.22222222
tags,50,8,31.25,68.75
tags,50,9,29.86111111,70.13888889
tags,50,10,40.97222222,59.02777778
tags,100,1,33.33333333,66.66666667
tags,100,2,37.5,62.5
tags,100,3,43.05555556,56.94444444
tags,100,4,38.88888889,61.11111111
tags,100,5,36.11111111,63.88888889
tags,100,6,33.33333333,66.66666667
tags,100,7,27.77777778,72.22222222
tags,100,8,23.61111111,76.38888889
tags,100,9,25,75
tags,100,10,43.05555556,56.94444444
tags,200,1,22.22222222,77.77777778
tags,200,2,47.22222222,52.77777778
tags,200,3,47.22222222,52.77777778
tags,200,4,33.33333333,66.66666667
tags,200,5,38.88888889,61.11111111
tags,200,6,41.66666667,58.33333333
tags,200,7,22.22222222,77.77777778
tags,200,8,27.77777778,72.22222222
tags,200,9,25,75
tags,200,10,27.77777778,72.22222222
tags,400,1,16.66666667,83.33333333
tags,400,2,27.77777778,72.22222222
tags,400,3,44.44444444,55.55555556
tags,400,4,22.22222222,77.77777778
tags,400,5,16.66666667,83.33333333
tags,400,6,11.11111111,88.88888889
tags,400,7,5.555555556,94.44444444
tags,400,8,16.66666667,83.33333333
tags,400,9,5.555555556,94.44444444
tags,400,10,11.11111111,88.88888889
tokens,25,1,40.625,59.375
tokens,25,2,24.65277778,75.34722222
tokens,25,3,31.25,68.75
tokens,25,4,32.63888889,67.36111111
tokens,25,5,14.23611111,85.76388889
tokens,25,6,22.22222222,77.77777778
tokens,25,7,23.95833333,76.04166667
tokens,25,8,23.95833333,76.04166667
tokens,25,9,26.04166667,73.95833333
tokens,25,10,33.68055556,66.31944444
tokens,50,1,30.55555556,69.44444444
tokens,50,2,26.38888889,73.61111111
tokens,50,3,27.08333333,72.91666667
tokens,50,4,29.86111111,70.13888889
tokens,50,5,14.58333333,85.41666667
tokens,50,6,19.44444444,80.55555556
tokens,50,7,20.83333333,79.16666667
tokens,50,8,21.52777778,78.47222222
tokens,50,9,20.13888889,79.86111111
tokens,50,10,29.16666667,70.83333333
tokens,100,1,27.77777778,72.22222222
tokens,100,2,29.16666667,70.83333333
tokens,100,3,20.83333333,79.16666667
tokens,100,4,26.38888889,73.61111111
tokens,100,5,12.5,87.5
tokens,100,6,19.44444444,80.55555556
tokens,100,7,18.05555556,81.94444444
tokens,100,8,15.27777778,84.72222222
tokens,100,9,19.44444444,80.55555556
tokens,100,10,20.83333333,79.16666667
tokens,200,1,33.33333333,66.66666667
tokens,200,2,22.22222222,77.77777778
tokens,200,3,25,75
tokens,200,4,27.77777778,72.22222222
tokens,200,5,13.88888889,86.11111111
tokens,200,6,16.66666667,83.33333333
tokens,200,7,8.333333333,91.66666667
tokens,200,8,11.11111111,88.88888889
tokens,200,9,13.88888889,86.11111111
tokens,200,10,22.22222222,77.77777778
tokens,400,1,22.22222222,77.77777778
tokens,400,2,16.66666667,83.33333333
tokens,400,3,27.77777778,72.22222222
tokens,400,4,27.77777778,72.22222222
tokens,400,5,0,100
tokens,400,6,16.66666667,83.33333333
tokens,400,7,16.66666667,83.33333333
tokens,400,8,5.555555556,94.44444444
tokens,400,9,16.66666667,83.33333333
tokens,400,10,5.555555556,94.44444444
