sample_size,group,%_LAM,%_MWS
25,1,30.9027777778,69.0972222222
25,2,32.6388888889,67.3611111111
25,3,40.9722222222,59.0277777778
25,4,34.7222222222,65.2777777778
25,5,21.5277777778,78.4722222222
25,6,32.2916666667,67.7083333333
25,7,30.5555555556,69.4444444444
25,8,27.7777777778,72.2222222222
25,9,31.25,68.75
25,10,34.0277777778,65.9722222222
50,1,30.5555555556,69.4444444444
50,2,37.5,62.5
50,3,43.75,56.25
50,4,37.5,62.5
50,5,27.7777777778,72.2222222222
50,6,36.8055555556,63.1944444444
50,7,27.7777777778,72.2222222222
50,8,31.25,68.75
50,9,29.8611111111,70.1388888889
50,10,40.9722222222,59.0277777778
100,1,33.3333333333,66.6666666667
100,2,37.5,62.5
100,3,43.0555555556,56.9444444444
100,4,38.8888888889,61.1111111111
100,5,36.1111111111,63.8888888889
100,6,33.3333333333,66.6666666667
100,7,27.7777777778,72.2222222222
100,8,23.6111111111,76.3888888889
100,9,25.0,75.0
100,10,43.0555555556,56.9444444444
200,1,22.2222222222,77.7777777778
200,2,47.2222222222,52.7777777778
200,3,47.2222222222,52.7777777778
200,4,33.3333333333,66.6666666667
200,5,38.8888888889,61.1111111111
200,6,41.6666666667,58.3333333333
200,7,22.2222222222,77.7777777778
200,8,27.7777777778,72.2222222222
200,9,25.0,75.0
200,10,27.7777777778,72.2222222222
400,1,16.6666666667,83.3333333333
400,2,27.7777777778,72.2222222222
400,3,44.4444444444,55.5555555556
400,4,22.2222222222,77.7777777778
400,5,16.6666666667,83.3333333333
400,6,11.1111111111,88.8888888889
400,7,5.55555555556,94.4444444444
400,8,16.6666666667,83.3333333333
400,9,5.55555555556,94.4444444444
400,10,11.1111111111,88.8888888889
