sample_size,group,%_LAM,%_MWS
25,1,40.625,59.375
25,2,24.6527777778,75.3472222222
25,3,31.25,68.75
25,4,32.6388888889,67.3611111111
25,5,14.2361111111,85.7638888889
25,6,22.2222222222,77.7777777778
25,7,23.9583333333,76.0416666667
25,8,23.9583333333,76.0416666667
25,9,26.0416666667,73.9583333333
25,10,33.6805555556,66.3194444444
50,1,30.5555555556,69.4444444444
50,2,26.3888888889,73.6111111111
50,3,27.0833333333,72.9166666667
50,4,29.8611111111,70.1388888889
50,5,14.5833333333,85.4166666667
50,6,19.4444444444,80.5555555556
50,7,20.8333333333,79.1666666667
50,8,21.5277777778,78.4722222222
50,9,20.1388888889,79.8611111111
50,10,29.1666666667,70.8333333333
100,1,27.7777777778,72.2222222222
100,2,29.1666666667,70.8333333333
100,3,20.8333333333,79.1666666667
100,4,26.3888888889,73.6111111111
100,5,12.5,87.5
100,6,19.4444444444,80.5555555556
100,7,18.0555555556,81.9444444444
100,8,15.2777777778,84.7222222222
100,9,19.4444444444,80.5555555556
100,10,20.8333333333,79.1666666667
200,1,33.3333333333,66.6666666667
200,2,22.2222222222,77.7777777778
200,3,25.0,75.0
200,4,27.7777777778,72.2222222222
200,5,13.8888888889,86.1111111111
200,6,16.6666666667,83.3333333333
200,7,8.33333333333,91.6666666667
200,8,11.1111111111,88.8888888889
200,9,13.8888888889,86.1111111111
200,10,22.2222222222,77.7777777778
400,1,22.2222222222,77.7777777778
400,2,16.6666666667,83.3333333333
400,3,27.7777777778,72.2222222222
400,4,27.7777777778,72.2222222222
400,5,0.0,100.0
400,6,16.6666666667,83.3333333333
400,7,16.6666666667,83.3333333333
400,8,5.55555555556,94.4444444444
400,9,16.6666666667,83.3333333333
400,10,5.55555555556,94.4444444444
