feature_type,sample_size,fold,true_MWS_pred_MWS,true_MWS_pred_PBS,true_PBS_pred_MWS,true_PBS_pred_PBS
tags,25,1,69.18238994,4.612159329,16.87631027,9.329140461
tags,25,2,65.72327044,8.071278826,15.93291405,10.27253669
tags,25,3,65.30398323,8.490566038,14.67505241,11.53039832
tags,25,4,66.77148847,7.023060797,14.2557652,11.94968553
tags,25,5,68.0293501,5.765199161,15.82809224,10.37735849
tags,25,6,69.81132075,3.983228512,16.35220126,9.853249476
tags,25,7,69.25498426,4.616998951,13.53620147,12.59181532
tags,25,8,68.41552991,5.456453305,12.9066107,13.22140609
tags,25,9,69.88457503,3.987408185,10.80797482,15.32004197
tags,25,10,67.47114376,6.400839454,12.59181532,13.53620147
tags,50,1,67.9245283,5.870020964,13.41719078,12.78825996
tags,50,2,64.98951782,8.805031447,12.36897275,13.83647799
tags,50,3,64.57023061,9.224318658,10.27253669,15.93291405
tags,50,4,67.50524109,6.289308176,9.64360587,16.56184486
tags,50,5,66.24737945,7.547169811,10.90146751,15.30398323
tags,50,6,67.08595388,6.708595388,9.433962264,16.77148847
tags,50,7,70.23060797,3.5639413,9.014675052,17.19077568
tags,50,8,67.50524109,6.289308176,7.547169811,18.65828092
tags,50,9,67.43697479,6.512605042,6.092436975,19.95798319
tags,50,10,64.28571429,9.663865546,7.352941176,18.69747899
tags,100,1,67.36401674,6.276150628,9.623430962,16.73640167
tags,100,2,64.85355649,8.786610879,10.87866109,15.48117155
tags,100,3,64.43514644,9.205020921,5.020920502,21.33891213
tags,100,4,68.20083682,5.439330544,7.531380753,18.82845188
tags,100,5,65.12605042,8.823529412,7.983193277,18.06722689
tags,100,6,67.64705882,6.302521008,10.08403361,15.96638655
tags,100,7,69.74789916,4.201680672,5.882352941,20.16806723
tags,100,8,68.48739496,5.462184874,4.62184874,21.42857143
tags,100,9,67.22689076,6.722689076,2.521008403,23.52941176
tags,100,10,63.44537815,10.50420168,4.201680672,21.8487395
tags,200,1,71.66666667,1.666666667,5.833333333,20.83333333
