sample_size,fold,true_MWS_pred_MWS,true_MWS_pred_PBS,true_PBS_pred_MWS,true_PBS_pred_PBS
25,1,67.0859538784,6.70859538784,15.0943396226,11.1111111111
25,2,67.4004192872,6.39412997904,15.0943396226,11.1111111111
25,3,62.2641509434,11.5303983229,14.9895178197,11.215932914
25,4,68.7631027254,5.03144654088,13.4171907757,12.7882599581
25,5,69.0775681342,4.71698113208,17.0859538784,9.11949685535
25,6,69.9161425577,3.8784067086,16.142557652,10.0628930818
25,7,69.9895068206,3.88247639035,13.9559286464,12.1720881427
25,8,69.5697796432,4.30220356768,13.4312696747,12.6967471144
25,9,68.5204616999,5.35152151102,12.8016789087,13.3263378804
25,10,69.6747114376,4.19727177335,15.4249737671,10.703043022
50,1,66.8763102725,6.91823899371,9.64360587002,16.5618448637
50,2,67.9245283019,5.87002096436,9.22431865828,16.9811320755
50,3,62.2641509434,11.5303983229,9.43396226415,16.7714884696
50,4,69.6016771488,4.1928721174,10.0628930818,16.142557652
50,5,68.9727463312,4.82180293501,11.9496855346,14.2557651992
50,6,69.8113207547,3.98322851153,12.5786163522,13.6268343816
50,7,69.8113207547,3.98322851153,8.17610062893,18.0293501048
50,8,70.6498951782,3.14465408805,8.3857442348,17.819706499
50,9,69.1176470588,4.83193277311,6.3025210084,19.7478991597
50,10,68.9075630252,5.04201680672,9.66386554622,16.3865546218
100,1,66.9456066946,6.69456066946,5.02092050209,21.3389121339
100,2,66.1087866109,7.53138075314,5.02092050209,21.3389121339
100,3,60.6694560669,12.9707112971,4.18410041841,22.1757322176
100,4,68.2008368201,5.43933054393,5.85774058577,20.5020920502
100,5,70.5882352941,3.36134453782,9.66386554622,16.3865546218
100,6,72.268907563,1.68067226891,10.0840336134,15.9663865546
100,7,71.0084033613,2.94117647059,6.72268907563,19.3277310924
100,8,71.8487394958,2.10084033613,5.04201680672,21.0084033613
100,9,68.9075630252,5.04201680672,3.78151260504,22.268907563
100,10,69.7478991597,4.20168067227,4.6218487395,21.4285714286
200,1,71.6666666667,1.66666666667,5.83333333333,20.8333333333
200,2,69.1666666667,4.16666666667,5.83333333333,20.8333333333
200,3,56.3025210084,17.6470588235,0.0,26.0504201681
200,4,68.9075630252,5.04201680672,3.36134453782,22.6890756303
200,5,70.5882352941,3.36134453782,7.56302521008,18.487394958
200,6,70.5882352941,3.36134453782,5.04201680672,21.0084033613
200,7,71.4285714286,2.52100840336,2.52100840336,23.5294117647
200,8,70.5882352941,3.36134453782,5.88235294118,20.1680672269
200,9,68.0672268908,5.88235294118,3.36134453782,22.6890756303
200,10,71.4285714286,2.52100840336,3.36134453782,22.6890756303
400,1,71.6666666667,1.66666666667,0.0,26.6666666667
400,2,73.3333333333,0.0,8.33333333333,18.3333333333
400,3,55.0,18.3333333333,0.0,26.6666666667
400,4,71.6666666667,1.66666666667,3.33333333333,23.3333333333
400,5,70.0,3.33333333333,0.0,26.6666666667
400,6,71.6666666667,1.66666666667,1.66666666667,25.0
400,7,74.5762711864,0.0,0.0,25.4237288136
400,8,74.5762711864,0.0,1.69491525424,23.7288135593
400,9,74.5762711864,0.0,0.0,25.4237288136
400,10,74.5762711864,0.0,0.0,25.4237288136
