sample_size,group,sample_index
25,1,0
25,1,4
25,1,49
25,1,51
25,1,70
25,1,71
25,1,77
25,1,79
25,1,96
25,1,105
25,1,117
25,1,136
25,1,137
25,1,140
25,1,157
25,1,158
25,1,159
25,1,163
25,1,170
25,1,171
25,1,175
25,1,177
25,1,192
25,1,205
25,1,208
25,1,222
25,1,226
25,1,234
25,1,235
25,1,240
25,1,257
25,1,260
25,1,264
25,1,267
25,1,281
25,2,12
25,2,43
25,2,44
25,2,46
25,2,50
25,2,55
25,2,71
25,2,73
25,2,78
25,2,92
25,2,103
25,2,122
25,2,124
25,2,125
25,2,128
25,2,144
25,2,165
25,2,182
25,2,191
25,2,204
25,2,224
25,2,240
25,2,249
25,2,253
25,2,286
25,3,18
25,3,27
25,3,30
25,3,52
25,3,54
25,3,57
25,3,63
25,3,65
25,3,73
25,3,76
25,3,94
25,3,96
25,3,97
25,3,165
25,3,166
25,3,175
25,3,233
25,3,243
25,3,244
25,3,261
25,4,4
25,4,8
25,4,26
25,4,27
25,4,37
25,4,39
25,4,48
25,4,53
25,4,60
25,4,71
25,4,73
25,4,79
25,4,114
25,4,149
25,4,203
25,4,205
25,4,209
25,4,232
25,4,235
25,4,243
25,4,245
25,4,247
25,4,250
25,4,261
25,4,264
25,4,267
25,5,19
25,5,43
25,5,47
25,5,50
25,5,57
25,5,58
25,5,75
25,5,86
25,5,93
25,5,148
25,5,151
25,5,158
25,5,160
25,5,201
25,5,203
25,5,208
25,5,216
25,5,224
25,5,232
25,5,241
25,5,256
25,5,287
25,6,6
25,6,12
25,6,28
25,6,50
25,6,52
25,6,55
25,6,57
25,6,60
25,6,67
25,6,76
25,6,101
25,6,136
25,6,152
25,6,158
25,6,163
25,6,174
25,6,185
25,6,206
25,6,224
25,6,236
25,6,241
25,6,284
25,7,82
25,7,115
25,7,119
25,7,158
25,7,176
25,7,177
25,7,180
25,7,185
25,7,190
25,7,257
25,7,270
25,7,282
25,8,1
25,8,12
25,8,29
25,8,35
25,8,50
25,8,51
25,8,55
25,8,62
25,8,70
25,8,80
25,8,103
25,8,124
25,8,127
25,8,157
25,8,177
25,8,183
25,8,222
25,8,241
25,8,246
25,8,256
25,8,275
25,8,276
