sample_size,group,%_MWS,%_PBS
25,1,87.8472222222,12.1527777778
25,2,91.3194444444,8.68055555556
25,3,93.0555555556,6.94444444444
25,4,90.9722222222,9.02777777778
25,5,92.3611111111,7.63888888889
25,6,92.3611111111,7.63888888889
25,7,95.8333333333,4.16666666667
25,8,92.3611111111,7.63888888889
25,9,94.0972222222,5.90277777778
25,10,89.9305555556,10.0694444444
50,1,88.1944444444,11.8055555556
50,2,88.8888888889,11.1111111111
50,3,93.75,6.25
50,4,86.1111111111,13.8888888889
50,5,93.0555555556,6.94444444444
50,6,89.5833333333,10.4166666667
50,7,96.5277777778,3.47222222222
50,8,93.0555555556,6.94444444444
50,9,92.3611111111,7.63888888889
50,10,85.4166666667,14.5833333333
100,1,80.5555555556,19.4444444444
100,2,88.8888888889,11.1111111111
100,3,93.0555555556,6.94444444444
100,4,81.9444444444,18.0555555556
100,5,88.8888888889,11.1111111111
100,6,90.2777777778,9.72222222222
100,7,91.6666666667,8.33333333333
100,8,93.0555555556,6.94444444444
100,9,95.8333333333,4.16666666667
100,10,83.3333333333,16.6666666667
200,1,77.7777777778,22.2222222222
200,2,83.3333333333,16.6666666667
200,3,94.4444444444,5.55555555556
200,4,80.5555555556,19.4444444444
200,5,94.4444444444,5.55555555556
200,6,83.3333333333,16.6666666667
200,7,94.4444444444,5.55555555556
200,8,91.6666666667,8.33333333333
200,9,91.6666666667,8.33333333333
200,10,86.1111111111,13.8888888889
400,1,94.4444444444,5.55555555556
400,2,100.0,0.0
400,3,100.0,0.0
400,4,88.8888888889,11.1111111111
400,5,94.4444444444,5.55555555556
400,6,88.8888888889,11.1111111111
400,7,100.0,0.0
400,8,100.0,0.0
400,9,100.0,0.0
400,10,83.3333333333,16.6666666667
