sample_size,fold,true_LAM_pred_LAM,true_LAM_pred_MWS,true_LAM_pred_PBS,true_MWS_pred_LAM,true_MWS_pred_MWS,true_MWS_pred_PBS,true_PBS_pred_LAM,true_PBS_pred_MWS,true_PBS_pred_PBS
100,1,15.5913978495,5.10752688172,12.6344086022,1.88172043011,28.4946236559,2.95698924731,3.49462365591,4.30107526882,25.5376344086
100,2,22.4932249322,4.87804878049,5.9620596206,3.79403794038,24.3902439024,5.14905149051,5.69105691057,4.87804878049,22.7642276423
100,3,27.1002710027,2.43902439024,3.79403794038,5.69105691057,25.4742547425,2.16802168022,6.23306233062,7.0460704607,20.054200542
100,4,23.0352303523,6.77506775068,3.52303523035,11.3821138211,11.9241192412,10.027100271,6.77506775068,4.33604336043,22.2222222222
100,5,19.783197832,3.25203252033,10.298102981,10.5691056911,19.2411924119,3.52303523035,7.31707317073,2.71002710027,23.3062330623
200,1,17.2043010753,4.30107526882,11.8279569892,1.0752688172,31.7204301075,0.537634408602,2.68817204301,3.22580645161,27.4193548387
200,2,25.8064516129,3.76344086022,3.76344086022,1.61290322581,29.0322580645,2.68817204301,4.83870967742,3.22580645161,25.2688172043
200,3,31.1827956989,0.537634408602,1.61290322581,3.76344086022,28.4946236559,1.0752688172,8.06451612903,3.76344086022,21.5053763441
200,4,27.3224043716,3.27868852459,2.73224043716,10.3825136612,12.0218579235,10.9289617486,3.82513661202,2.18579234973,27.3224043716
200,5,22.4043715847,2.73224043716,8.19672131148,8.74316939891,23.4972677596,1.09289617486,7.10382513661,0.546448087432,25.6830601093
400,1,21.5053763441,1.0752688172,10.752688172,0.0,32.2580645161,1.0752688172,1.0752688172,2.15053763441,30.1075268817
400,2,30.1075268817,2.15053763441,1.0752688172,0.0,31.1827956989,2.15053763441,5.37634408602,2.15053763441,25.8064516129
400,3,32.2580645161,0.0,1.0752688172,3.22580645161,30.1075268817,0.0,9.67741935484,2.15053763441,21.5053763441
400,4,31.1827956989,1.0752688172,1.0752688172,12.9032258065,11.8279569892,8.60215053763,0.0,2.15053763441,31.1827956989
400,5,22.2222222222,2.22222222222,8.88888888889,6.66666666667,26.6666666667,0.0,1.11111111111,0.0,32.2222222222
800,1,22.9166666667,0.0,10.4166666667,0.0,33.3333333333,0.0,0.0,2.08333333333,31.25
800,2,33.3333333333,0.0,0.0,0.0,31.25,2.08333333333,4.16666666667,0.0,29.1666666667
800,3,33.3333333333,0.0,0.0,0.0,33.3333333333,0.0,6.66666666667,0.0,26.6666666667
800,4,31.1111111111,0.0,2.22222222222,17.7777777778,11.1111111111,4.44444444444,2.22222222222,2.22222222222,28.8888888889
800,5,22.2222222222,0.0,11.1111111111,2.22222222222,31.1111111111,0.0,0.0,0.0,33.3333333333
