sample_size,group,%_LAM,%_MWS,%_PBS
100,1,31.9444444444,68.0555555556,0.0
100,2,23.6111111111,76.3888888889,0.0
100,3,45.8333333333,52.7777777778,1.38888888889
100,4,52.7777777778,47.2222222222,0.0
100,5,4.16666666667,95.8333333333,0.0
100,6,18.0555555556,81.9444444444,0.0
100,7,22.2222222222,77.7777777778,0.0
100,8,27.7777777778,72.2222222222,0.0
100,9,29.1666666667,70.8333333333,0.0
100,10,38.8888888889,61.1111111111,0.0
200,1,41.6666666667,58.3333333333,0.0
200,2,25.0,75.0,0.0
200,3,52.7777777778,47.2222222222,0.0
200,4,55.5555555556,44.4444444444,0.0
200,5,0.0,100.0,0.0
200,6,16.6666666667,83.3333333333,0.0
200,7,22.2222222222,77.7777777778,0.0
200,8,30.5555555556,69.4444444444,0.0
200,9,25.0,75.0,0.0
200,10,33.3333333333,66.6666666667,0.0
400,1,33.3333333333,66.6666666667,0.0
400,2,22.2222222222,77.7777777778,0.0
400,3,50.0,50.0,0.0
400,4,61.1111111111,38.8888888889,0.0
400,5,0.0,100.0,0.0
400,6,11.1111111111,88.8888888889,0.0
400,7,16.6666666667,83.3333333333,0.0
400,8,27.7777777778,72.2222222222,0.0
400,9,27.7777777778,72.2222222222,0.0
400,10,33.3333333333,66.6666666667,0.0
800,1,33.3333333333,66.6666666667,0.0
800,2,11.1111111111,88.8888888889,0.0
800,3,66.6666666667,33.3333333333,0.0
800,4,55.5555555556,44.4444444444,0.0
800,5,0.0,100.0,0.0
800,6,0.0,100.0,0.0
800,7,0.0,100.0,0.0
800,8,11.1111111111,88.8888888889,0.0
800,9,33.3333333333,66.6666666667,0.0
800,10,22.2222222222,77.7777777778,0.0
