sample_size,fold,true_MWS_pred_MWS,true_MWS_pred_PBS,true_PBS_pred_MWS,true_PBS_pred_PBS
100,1,41.935483871,8.06451612903,7.25806451613,42.7419354839
100,2,45.9677419355,4.03225806452,7.25806451613,42.7419354839
100,3,35.4838709677,14.5161290323,8.87096774194,41.1290322581
100,4,45.9677419355,4.03225806452,8.06451612903,41.935483871
100,5,45.1612903226,4.83870967742,16.935483871,33.064516129
100,6,44.3548387097,5.64516129032,8.06451612903,41.935483871
100,7,30.3278688525,19.6721311475,7.37704918033,42.6229508197
100,8,28.6885245902,21.3114754098,7.37704918033,42.6229508197
100,9,36.0655737705,13.9344262295,5.73770491803,44.262295082
100,10,45.9016393443,4.09836065574,8.19672131148,41.8032786885
200,1,46.7741935484,3.22580645161,4.83870967742,45.1612903226
200,2,46.7741935484,3.22580645161,8.06451612903,41.935483871
200,3,41.935483871,8.06451612903,4.83870967742,45.1612903226
200,4,48.3870967742,1.61290322581,8.06451612903,41.935483871
200,5,46.7741935484,3.22580645161,9.67741935484,40.3225806452
200,6,46.7741935484,3.22580645161,4.83870967742,45.1612903226
200,7,30.6451612903,19.3548387097,4.83870967742,45.1612903226
200,8,30.6451612903,19.3548387097,4.83870967742,45.1612903226
200,9,40.0,10.0,1.66666666667,48.3333333333
200,10,48.3333333333,1.66666666667,1.66666666667,48.3333333333
400,1,46.875,3.125,0.0,50.0
400,2,50.0,0.0,6.25,43.75
400,3,46.875,3.125,3.125,46.875
400,4,50.0,0.0,9.375,40.625
400,5,50.0,0.0,3.33333333333,46.6666666667
400,6,50.0,0.0,3.33333333333,46.6666666667
400,7,36.6666666667,13.3333333333,3.33333333333,46.6666666667
400,8,36.6666666667,13.3333333333,3.33333333333,46.6666666667
400,9,43.3333333333,6.66666666667,0.0,50.0
400,10,50.0,0.0,0.0,50.0
800,1,50.0,0.0,0.0,50.0
800,2,50.0,0.0,6.25,43.75
800,3,50.0,0.0,0.0,50.0
800,4,50.0,0.0,0.0,50.0
800,5,50.0,0.0,6.25,43.75
800,6,50.0,0.0,6.25,43.75
800,7,31.25,18.75,0.0,50.0
800,8,42.8571428571,7.14285714286,0.0,50.0
800,9,50.0,0.0,0.0,50.0
800,10,50.0,0.0,0.0,50.0
