sample_size,fold,true_LAM_pred_LAM,true_LAM_pred_MWS,true_LAM_pred_PBS,true_MWS_pred_LAM,true_MWS_pred_MWS,true_MWS_pred_PBS,true_PBS_pred_LAM,true_PBS_pred_MWS,true_PBS_pred_PBS
100,1,12.3655913978,5.91397849462,15.0537634409,2.15053763441,26.8817204301,4.30107526882,4.30107526882,3.22580645161,25.8064516129
100,2,19.8924731183,4.30107526882,9.13978494624,1.61290322581,30.1075268817,1.61290322581,2.68817204301,4.30107526882,26.3440860215
100,3,23.1182795699,5.91397849462,4.30107526882,2.68817204301,22.0430107527,8.60215053763,6.98924731183,2.15053763441,24.1935483871
100,4,25.2688172043,2.15053763441,5.91397849462,6.98924731183,24.7311827957,1.61290322581,4.30107526882,3.22580645161,25.8064516129
100,5,28.4946236559,2.15053763441,2.68817204301,5.91397849462,24.7311827957,2.68817204301,11.2903225806,6.45161290323,15.5913978495
100,6,24.7311827957,2.68817204301,5.91397849462,5.37634408602,26.8817204301,1.0752688172,4.30107526882,4.30107526882,24.7311827957
100,7,30.0546448087,2.73224043716,0.546448087432,6.01092896175,15.8469945355,11.4754098361,4.91803278689,4.91803278689,23.4972677596
100,8,21.3114754098,6.01092896175,6.01092896175,7.65027322404,14.2076502732,11.4754098361,5.46448087432,4.37158469945,23.4972677596
100,9,20.218579235,4.37158469945,8.74316939891,9.28961748634,19.6721311475,4.37158469945,6.01092896175,2.73224043716,24.5901639344
100,10,19.6721311475,2.18579234973,11.4754098361,6.01092896175,25.1366120219,2.18579234973,6.55737704918,3.27868852459,23.4972677596
200,1,16.1290322581,3.22580645161,13.9784946237,2.15053763441,30.1075268817,1.0752688172,2.15053763441,2.15053763441,29.0322580645
200,2,20.4301075269,2.15053763441,10.752688172,2.15053763441,30.1075268817,1.0752688172,2.15053763441,4.30107526882,26.8817204301
200,3,24.7311827957,5.37634408602,3.22580645161,1.0752688172,26.8817204301,5.37634408602,6.45161290323,2.15053763441,24.7311827957
200,4,27.9569892473,2.15053763441,3.22580645161,5.37634408602,26.8817204301,1.0752688172,4.30107526882,3.22580645161,25.8064516129
200,5,33.3333333333,0.0,0.0,3.22580645161,27.9569892473,2.15053763441,12.9032258065,3.22580645161,17.2043010753
200,6,26.8817204301,1.0752688172,5.37634408602,4.30107526882,29.0322580645,0.0,3.22580645161,2.15053763441,27.9569892473
200,7,32.2580645161,1.0752688172,0.0,4.30107526882,17.2043010753,11.8279569892,3.22580645161,2.15053763441,27.9569892473
200,8,23.6559139785,3.22580645161,6.45161290323,6.45161290323,15.0537634409,11.8279569892,3.22580645161,3.22580645161,26.8817204301
200,9,28.8888888889,1.11111111111,3.33333333333,8.88888888889,22.2222222222,2.22222222222,3.33333333333,1.11111111111,28.8888888889
200,10,22.2222222222,1.11111111111,10.0,6.66666666667,25.5555555556,1.11111111111,5.55555555556,1.11111111111,26.6666666667
400,1,18.75,2.08333333333,12.5,0.0,31.25,2.08333333333,2.08333333333,0.0,31.25
400,2,27.0833333333,0.0,6.25,0.0,33.3333333333,0.0,0.0,4.16666666667,29.1666666667
400,3,33.3333333333,0.0,0.0,0.0,31.25,2.08333333333,4.16666666667,2.08333333333,27.0833333333
400,4,31.25,2.08333333333,0.0,2.08333333333,31.25,0.0,6.25,2.08333333333,25.0
400,5,33.3333333333,0.0,0.0,2.22222222222,31.1111111111,0.0,13.3333333333,0.0,20.0
400,6,31.1111111111,0.0,2.22222222222,2.22222222222,31.1111111111,0.0,4.44444444444,0.0,28.8888888889
400,7,33.3333333333,0.0,0.0,2.22222222222,22.2222222222,8.88888888889,2.22222222222,2.22222222222,28.8888888889
400,8,28.8888888889,2.22222222222,2.22222222222,6.66666666667,20.0,6.66666666667,0.0,2.22222222222,31.1111111111
400,9,28.8888888889,0.0,4.44444444444,4.44444444444,26.6666666667,2.22222222222,2.22222222222,0.0,31.1111111111
400,10,22.2222222222,0.0,11.1111111111,2.22222222222,31.1111111111,0.0,2.22222222222,0.0,31.1111111111
800,1,16.6666666667,0.0,16.6666666667,0.0,33.3333333333,0.0,0.0,0.0,33.3333333333
800,2,25.0,0.0,8.33333333333,0.0,33.3333333333,0.0,0.0,4.16666666667,29.1666666667
800,3,33.3333333333,0.0,0.0,0.0,33.3333333333,0.0,0.0,0.0,33.3333333333
800,4,33.3333333333,0.0,0.0,0.0,33.3333333333,0.0,4.16666666667,0.0,29.1666666667
800,5,33.3333333333,0.0,0.0,0.0,33.3333333333,0.0,8.33333333333,0.0,25.0
800,6,33.3333333333,0.0,0.0,0.0,33.3333333333,0.0,4.16666666667,4.16666666667,25.0
800,7,33.3333333333,0.0,0.0,0.0,20.8333333333,12.5,0.0,0.0,33.3333333333
800,8,33.3333333333,0.0,0.0,9.52380952381,23.8095238095,0.0,4.7619047619,0.0,28.5714285714
800,9,23.8095238095,0.0,9.52380952381,0.0,33.3333333333,0.0,0.0,0.0,33.3333333333
800,10,23.8095238095,0.0,9.52380952381,0.0,33.3333333333,0.0,0.0,0.0,33.3333333333
