sample_size,fold,true_MWS_pred_MWS,true_MWS_pred_PBS,true_PBS_pred_MWS,true_PBS_pred_PBS
100,1,48.3870967742,1.61290322581,16.935483871,33.064516129
100,2,46.7741935484,3.22580645161,13.7096774194,36.2903225806
100,3,41.1290322581,8.87096774194,8.06451612903,41.935483871
100,4,38.7096774194,11.2903225806,10.4838709677,39.5161290323
100,5,42.7419354839,7.25806451613,15.3225806452,34.6774193548
100,6,44.3548387097,5.64516129032,10.4838709677,39.5161290323
100,7,40.9836065574,9.01639344262,4.91803278689,45.0819672131
100,8,40.9836065574,9.01639344262,6.55737704918,43.4426229508
100,9,43.4426229508,6.55737704918,7.37704918033,42.6229508197
100,10,45.9016393443,4.09836065574,3.27868852459,46.7213114754
200,1,50.0,0.0,14.5161290323,35.4838709677
200,2,48.3870967742,1.61290322581,8.06451612903,41.935483871
200,3,46.7741935484,3.22580645161,6.45161290323,43.5483870968
200,4,43.5483870968,6.45161290323,6.45161290323,43.5483870968
200,5,41.935483871,8.06451612903,9.67741935484,40.3225806452
200,6,43.5483870968,6.45161290323,9.67741935484,40.3225806452
200,7,46.7741935484,3.22580645161,4.83870967742,45.1612903226
200,8,45.1612903226,4.83870967742,4.83870967742,45.1612903226
200,9,46.6666666667,3.33333333333,1.66666666667,48.3333333333
200,10,46.6666666667,3.33333333333,1.66666666667,48.3333333333
400,1,50.0,0.0,12.5,37.5
400,2,50.0,0.0,6.25,43.75
400,3,46.875,3.125,0.0,50.0
400,4,43.75,6.25,6.25,43.75
400,5,46.6666666667,3.33333333333,6.66666666667,43.3333333333
400,6,50.0,0.0,6.66666666667,43.3333333333
400,7,50.0,0.0,0.0,50.0
400,8,50.0,0.0,3.33333333333,46.6666666667
400,9,50.0,0.0,0.0,50.0
400,10,46.6666666667,3.33333333333,0.0,50.0
800,1,50.0,0.0,0.0,50.0
800,2,50.0,0.0,6.25,43.75
800,3,50.0,0.0,0.0,50.0
800,4,50.0,0.0,0.0,50.0
800,5,50.0,0.0,0.0,50.0
800,6,50.0,0.0,0.0,50.0
800,7,50.0,0.0,0.0,50.0
800,8,50.0,0.0,0.0,50.0
800,9,50.0,0.0,0.0,50.0
800,10,50.0,0.0,0.0,50.0
