sample_size,group,sample_index
100,1,12
100,1,22
100,1,24
100,1,25
100,1,34
100,1,35
100,1,66
100,2,18
100,2,26
100,2,31
100,2,64
100,2,65
100,2,67
100,2,71
100,3,3
100,3,4
100,3,5
100,3,7
100,3,10
100,3,12
100,3,18
100,3,19
100,3,24
100,3,25
100,3,34
100,3,37
100,3,38
100,3,40
100,3,49
100,3,58
100,3,59
100,3,60
100,3,63
100,3,64
100,3,66
100,3,67
100,4,2
100,4,12
100,4,13
100,4,14
100,4,15
100,4,18
100,4,21
100,4,22
100,4,24
100,4,58
100,4,62
100,4,65
100,4,66
100,5,32
100,5,54
100,5,58
100,6,5
100,6,10
100,6,13
100,6,36
100,6,37
100,6,39
100,6,40
100,6,43
100,6,52
100,6,65
100,6,70
100,6,71
100,7,5
100,7,38
100,7,44
100,7,48
100,7,50
100,7,69
100,8,12
100,8,31
100,8,35
100,8,36
100,8,37
100,8,52
100,8,57
100,8,58
100,8,60
100,8,61
100,8,62
100,8,64
100,8,71
100,9,10
100,9,34
100,9,39
100,9,55
100,10,5
100,10,14
100,10,22
100,10,29
100,10,45
100,10,56
100,10,58
100,10,62
100,10,66
200,1,11
200,1,12
200,1,17
200,1,33
200,2,32
200,2,33
200,2,35
200,3,2
200,3,3
200,3,6
200,3,9
200,3,12
200,3,17
200,3,19
200,3,20
200,3,29
200,3,30
200,3,31
200,3,33
200,4,6
200,4,7
200,4,11
200,4,12
200,4,29
200,6,18
200,6,19
200,6,21
200,6,35
200,7,2
200,7,22
200,8,17
200,8,18
200,8,29
200,8,30
200,8,31
200,8,32
200,9,5
200,9,19
200,10,31
400,1,8
400,2,16
400,3,1
400,3,4
400,3,6
400,3,9
400,3,10
400,3,14
400,3,15
400,3,16
400,4,3
400,4,5
400,6,9
400,6,10
400,8,9
400,8,15
400,8,16
800,2,8
800,3,7
800,4,1
800,8,7
