sample_size,group,%_MWS,%_PBS
100,1,90.2777777778,9.72222222222
100,2,90.2777777778,9.72222222222
100,3,69.4444444444,30.5555555556
100,4,81.9444444444,18.0555555556
100,5,95.8333333333,4.16666666667
100,6,83.3333333333,16.6666666667
100,7,91.6666666667,8.33333333333
100,8,81.9444444444,18.0555555556
100,9,94.4444444444,5.55555555556
100,10,87.5,12.5
200,1,88.8888888889,11.1111111111
200,2,91.6666666667,8.33333333333
200,3,66.6666666667,33.3333333333
200,4,86.1111111111,13.8888888889
200,5,100.0,0.0
200,6,88.8888888889,11.1111111111
200,7,94.4444444444,5.55555555556
200,8,83.3333333333,16.6666666667
200,9,94.4444444444,5.55555555556
200,10,97.2222222222,2.77777777778
400,1,94.4444444444,5.55555555556
400,2,94.4444444444,5.55555555556
400,3,55.5555555556,44.4444444444
400,4,88.8888888889,11.1111111111
400,5,100.0,0.0
400,6,88.8888888889,11.1111111111
400,7,100.0,0.0
400,8,83.3333333333,16.6666666667
400,9,100.0,0.0
400,10,100.0,0.0
800,1,100.0,0.0
800,2,88.8888888889,11.1111111111
800,3,88.8888888889,11.1111111111
800,4,88.8888888889,11.1111111111
800,5,100.0,0.0
800,6,100.0,0.0
800,7,100.0,0.0
800,8,88.8888888889,11.1111111111
800,9,100.0,0.0
800,10,100.0,0.0
