sample_size,fold,true_LAM_pred_LAM,true_LAM_pred_MWS,true_LAM_pred_PBS,true_MWS_pred_LAM,true_MWS_pred_MWS,true_MWS_pred_PBS,true_PBS_pred_LAM,true_PBS_pred_MWS,true_PBS_pred_PBS
200,1,38.4615384615,0.512820512821,0.0,3.07692307692,42.0512820513,0.0,0.512820512821,0.0,15.3846153846
200,2,38.2051282051,0.769230769231,0.0,3.07692307692,42.0512820513,0.0,1.53846153846,0.0,14.358974359
200,3,38.9743589744,0.0,0.0,0.25641025641,44.8717948718,0.0,1.53846153846,0.769230769231,13.5897435897
200,4,39.0745501285,0.0,0.0,1.02827763496,44.2159383033,0.0,0.25706940874,0.0,15.4241645244
200,5,37.8865979381,1.03092783505,0.0,0.515463917526,44.8453608247,0.0,0.0,0.0,15.7216494845
600,1,38.9312977099,0.0,0.0,0.0,45.0381679389,0.0,0.0,0.0,16.0305343511
600,2,38.9312977099,0.0,0.0,1.52671755725,43.5114503817,0.0,0.763358778626,0.0,15.2671755725
600,3,39.2307692308,0.0,0.0,0.0,45.3846153846,0.0,0.769230769231,0.769230769231,13.8461538462
600,4,39.0625,0.0,0.0,0.0,45.3125,0.0,0.0,0.0,15.625
600,5,39.0625,0.0,0.0,0.0,45.3125,0.0,0.0,0.0,15.625
1000,1,39.2405063291,0.0,0.0,0.0,45.5696202532,0.0,0.0,0.0,15.1898734177
1000,2,38.961038961,0.0,0.0,0.0,45.4545454545,0.0,0.0,0.0,15.5844155844
1000,3,38.961038961,0.0,0.0,0.0,45.4545454545,0.0,1.2987012987,1.2987012987,12.987012987
1000,4,38.961038961,0.0,0.0,0.0,45.4545454545,0.0,0.0,0.0,15.5844155844
1000,5,38.961038961,0.0,0.0,0.0,45.4545454545,0.0,0.0,0.0,15.5844155844
1400,1,39.2857142857,0.0,0.0,0.0,44.6428571429,0.0,0.0,0.0,16.0714285714
1400,2,39.2857142857,0.0,0.0,0.0,44.6428571429,0.0,0.0,0.0,16.0714285714
1400,3,39.2857142857,0.0,0.0,0.0,44.6428571429,0.0,0.0,0.0,16.0714285714
1400,4,38.1818181818,0.0,0.0,0.0,45.4545454545,0.0,0.0,0.0,16.3636363636
1400,5,38.8888888889,0.0,0.0,0.0,46.2962962963,0.0,0.0,0.0,14.8148148148
1800,1,38.6363636364,0.0,0.0,0.0,45.4545454545,0.0,0.0,0.0,15.9090909091
1800,2,38.6363636364,0.0,0.0,0.0,45.4545454545,0.0,0.0,0.0,15.9090909091
1800,3,39.5348837209,0.0,0.0,0.0,44.1860465116,0.0,0.0,0.0,16.2790697674
1800,4,39.5348837209,0.0,0.0,0.0,44.1860465116,0.0,0.0,0.0,16.2790697674
1800,5,39.0243902439,0.0,0.0,0.0,46.3414634146,0.0,0.0,0.0,14.6341463415
2200,1,38.8888888889,0.0,0.0,0.0,44.4444444444,0.0,0.0,0.0,16.6666666667
2200,2,38.8888888889,0.0,0.0,0.0,44.4444444444,0.0,0.0,0.0,16.6666666667
2200,3,38.8888888889,0.0,0.0,0.0,44.4444444444,0.0,0.0,0.0,16.6666666667
2200,4,40.0,0.0,0.0,0.0,45.7142857143,0.0,0.0,0.0,14.2857142857
2200,5,38.2352941176,0.0,0.0,0.0,47.0588235294,0.0,0.0,0.0,14.7058823529
