sample_size,fold,true_LAM_pred_LAM,true_LAM_pred_MWS,true_LAM_pred_PBS,true_MWS_pred_LAM,true_MWS_pred_MWS,true_MWS_pred_PBS,true_PBS_pred_LAM,true_PBS_pred_MWS,true_PBS_pred_PBS
25,1,16.1333333333,10.8,6.4,6.0,20.8,6.53333333333,6.13333333333,8.93333333333,18.2666666667
25,2,17.8666666667,8.0,7.46666666667,7.2,21.6,4.53333333333,6.0,9.6,17.7333333333
25,3,20.2666666667,9.73333333333,3.33333333333,7.73333333333,17.3333333333,8.26666666667,7.73333333333,8.0,17.6
25,4,18.6666666667,9.33333333333,5.33333333333,9.33333333333,17.2,6.8,6.0,7.86666666667,19.4666666667
25,5,19.7333333333,7.6,6.0,8.0,18.4,6.93333333333,6.66666666667,8.0,18.6666666667
25,6,20.6666666667,5.33333333333,7.33333333333,7.2,19.7333333333,6.4,4.8,9.46666666667,19.0666666667
25,7,21.5528781794,6.55957161981,5.22088353414,4.5515394913,20.8835341365,7.89825970549,5.62248995984,6.42570281124,21.2851405622
25,8,20.2141900937,6.42570281124,6.69344042838,7.22891566265,18.875502008,7.22891566265,5.62248995984,6.02409638554,21.686746988
25,9,19.0093708166,8.03212851406,6.29183400268,7.09504685408,18.0722891566,8.16599732262,5.08701472557,5.3547523427,22.8915662651
25,10,18.2061579652,7.89825970549,7.22891566265,7.89825970549,19.1432396252,6.29183400268,5.75635876841,6.02409638554,21.5528781794
50,1,19.2,9.6,4.53333333333,5.06666666667,24.5333333333,3.73333333333,8.0,7.73333333333,17.6
50,2,22.1333333333,6.93333333333,4.26666666667,7.2,23.4666666667,2.66666666667,5.6,7.2,20.5333333333
50,3,25.6,6.13333333333,1.6,7.2,19.2,6.93333333333,6.66666666667,4.8,21.8666666667
50,4,23.2,6.66666666667,3.46666666667,7.46666666667,20.8,5.06666666667,5.33333333333,6.66666666667,21.3333333333
50,5,23.4666666667,4.8,5.06666666667,8.8,20.5333333333,4.0,5.86666666667,5.86666666667,21.6
50,6,20.8,5.6,6.93333333333,5.86666666667,22.9333333333,4.53333333333,3.2,7.46666666667,22.6666666667
50,7,25.6,4.8,2.93333333333,5.86666666667,20.8,6.66666666667,3.2,6.66666666667,23.4666666667
50,8,23.4666666667,5.6,4.26666666667,6.66666666667,20.8,5.86666666667,4.53333333333,4.0,24.8
50,9,21.2365591398,6.72043010753,5.37634408602,6.98924731183,19.8924731183,6.45161290323,3.76344086022,3.49462365591,26.0752688172
50,10,21.7741935484,7.25806451613,4.30107526882,5.37634408602,24.7311827957,3.22580645161,6.98924731183,3.76344086022,22.5806451613
100,1,20.6349206349,8.46560846561,4.2328042328,4.7619047619,25.9259259259,2.6455026455,6.34920634921,6.34920634921,20.6349206349
100,2,23.8095238095,5.82010582011,3.7037037037,7.93650793651,24.8677248677,0.529100529101,6.34920634921,6.34920634921,20.6349206349
100,3,28.5714285714,2.1164021164,2.6455026455,5.29100529101,21.164021164,6.87830687831,6.34920634921,3.7037037037,23.2804232804
100,4,30.1587301587,1.5873015873,1.5873015873,6.87830687831,20.6349206349,5.82010582011,5.82010582011,4.2328042328,23.2804232804
100,5,24.1935483871,5.91397849462,3.22580645161,6.45161290323,25.2688172043,1.61290322581,5.37634408602,7.52688172043,20.4301075269
100,6,25.8064516129,2.15053763441,5.37634408602,6.45161290323,23.6559139785,3.22580645161,1.61290322581,9.13978494624,22.5806451613
100,7,26.8817204301,4.83870967742,1.61290322581,3.76344086022,23.6559139785,5.91397849462,4.30107526882,4.30107526882,24.7311827957
100,8,29.5698924731,1.61290322581,2.15053763441,3.22580645161,25.8064516129,4.30107526882,2.15053763441,2.68817204301,28.4946236559
100,9,25.8064516129,6.45161290323,1.0752688172,6.45161290323,21.5053763441,5.37634408602,0.537634408602,2.68817204301,30.1075268817
100,10,25.8064516129,4.83870967742,2.68817204301,5.37634408602,24.7311827957,3.22580645161,4.30107526882,0.537634408602,28.4946236559
200,1,23.9583333333,6.25,3.125,2.08333333333,27.0833333333,4.16666666667,1.04166666667,4.16666666667,28.125
200,2,28.125,3.125,2.08333333333,3.125,30.2083333333,0.0,4.16666666667,2.08333333333,27.0833333333
200,3,33.3333333333,0.0,0.0,5.37634408602,20.4301075269,7.52688172043,2.15053763441,2.15053763441,29.0322580645
200,4,30.1075268817,3.22580645161,0.0,5.37634408602,24.7311827957,3.22580645161,4.30107526882,0.0,29.0322580645
200,5,30.1075268817,2.15053763441,1.0752688172,4.30107526882,27.9569892473,1.0752688172,3.22580645161,2.15053763441,27.9569892473
200,6,23.6559139785,2.15053763441,7.52688172043,4.30107526882,29.0322580645,0.0,0.0,6.45161290323,26.8817204301
200,7,29.0322580645,3.22580645161,1.0752688172,0.0,30.1075268817,3.22580645161,3.22580645161,4.30107526882,25.8064516129
200,8,29.0322580645,2.15053763441,2.15053763441,4.30107526882,25.8064516129,3.22580645161,1.0752688172,2.15053763441,30.1075268817
200,9,26.8817204301,6.45161290323,0.0,3.22580645161,24.7311827957,5.37634408602,1.0752688172,0.0,32.2580645161
200,10,25.8064516129,4.30107526882,3.22580645161,1.0752688172,31.1827956989,1.0752688172,1.0752688172,0.0,32.2580645161
