sample_size,group,sample_index
25,1,4
25,1,15
25,1,39
25,1,50
25,1,94
25,1,96
25,1,122
25,1,136
25,1,138
25,1,170
25,1,200
25,1,265
25,1,271
25,2,6
25,2,38
25,2,59
25,2,73
25,2,76
25,2,84
25,2,87
25,2,114
25,2,119
25,2,134
25,2,153
25,2,210
25,2,240
25,2,244
25,2,249
25,2,263
25,3,40
25,3,43
25,3,44
25,3,48
25,3,51
25,3,71
25,3,136
25,3,148
25,3,169
25,3,196
25,3,197
25,3,212
25,3,233
25,3,244
25,3,250
25,3,254
25,3,277
25,3,280
25,4,1
25,4,34
25,4,53
25,4,60
25,4,71
25,4,83
25,4,84
25,4,99
25,4,186
25,4,232
25,4,239
25,4,264
25,4,283
25,5,12
25,5,16
25,5,24
25,5,43
25,5,49
25,5,66
25,5,67
25,5,95
25,5,101
25,5,114
25,5,129
25,5,161
25,5,191
25,5,202
25,5,219
25,5,224
25,5,234
25,5,246
25,5,277
25,5,285
25,6,20
25,6,30
25,6,33
25,6,41
25,6,98
25,6,102
25,6,126
25,6,142
25,6,143
25,6,180
25,6,198
25,6,231
25,6,258
25,6,271
25,6,272
25,6,273
25,7,12
25,7,66
25,7,107
25,7,170
25,7,177
25,7,186
25,7,194
25,7,241
25,7,255
25,7,276
25,8,12
25,8,60
25,8,134
25,8,135
25,8,148
25,8,182
25,8,197
25,8,200
25,8,201
25,8,206
25,8,235
25,8,258
25,8,278
25,8,286
25,9,5
25,9,12
25,9,22
25,9,32
25,9,43
25,9,67
25,9,74
25,9,91
25,9,94
25,9,114
25,9,124
25,9,140
25,9,144
25,9,145
25,9,170
25,9,181
25,9,252
25,9,278
25,10,10
25,10,32
25,10,39
25,10,53
25,10,56
25,10,74
25,10,155
25,10,178
25,10,191
25,10,248
25,10,261
25,10,271
25,10,275
25,10,287
50,1,7
50,1,25
50,1,35
50,1,48
50,1,51
50,1,68
50,1,69
50,1,114
50,1,115
50,1,128
50,1,135
50,2,3
50,2,36
50,2,42
50,2,43
50,2,95
50,3,24
50,3,26
50,3,40
50,3,56
50,3,63
50,3,68
50,3,73
50,3,76
50,3,79
50,3,84
50,3,98
50,3,106
50,3,126
50,3,138
50,4,2
50,4,17
50,4,25
50,4,27
50,4,31
50,4,42
50,4,60
50,4,91
50,4,100
50,4,116
50,4,119
50,5,9
50,5,21
50,5,33
50,5,59
50,5,64
50,5,69
50,5,80
50,5,82
50,5,109
50,5,112
50,5,117
50,5,138
50,5,141
50,6,5
50,6,15
50,6,20
50,6,25
50,6,26
50,6,31
50,6,46
50,6,48
50,6,49
50,6,71
50,6,78
50,6,99
50,6,110
50,6,112
50,6,119
50,6,127
50,6,131
50,6,136
50,7,57
50,7,79
50,7,88
50,7,93
50,7,125
50,8,6
50,8,8
50,8,63
50,8,67
50,8,97
50,8,100
50,8,103
50,8,129
50,9,20
50,9,57
50,9,63
50,9,95
50,9,101
50,9,107
50,9,116
50,9,126
50,10,25
50,10,35
50,10,77
50,10,89
50,10,102
50,10,125
100,1,34
100,1,50
100,1,57
100,1,64
100,2,21
100,2,62
100,2,64
100,2,65
100,3,10
100,3,12
100,3,15
100,3,34
100,3,40
100,3,53
100,4,13
100,4,15
100,4,30
100,4,38
100,4,50
100,4,60
100,4,69
100,5,3
100,5,4
100,5,25
100,5,32
100,5,39
100,5,53
100,5,54
100,5,56
100,5,60
100,5,69
100,6,0
100,6,7
100,6,10
100,6,12
100,6,13
100,6,15
100,6,24
100,6,35
100,6,50
100,6,65
100,7,44
100,7,60
100,7,62
100,8,3
100,8,64
100,9,1
100,9,11
100,9,31
100,9,35
100,9,36
100,9,42
100,9,56
100,9,63
100,10,5
100,10,14
100,10,31
100,10,36
100,10,38
100,10,54
100,10,62
200,1,2
200,1,32
200,1,33
200,2,10
200,3,6
200,3,17
200,3,18
200,3,26
200,3,31
200,4,6
200,4,7
200,4,29
200,5,19
200,5,20
200,6,7
200,6,12
200,6,31
200,6,32
200,8,30
200,8,32
200,9,21
200,10,2
200,10,31
