sample_size,group,sample_index
25,1,0
25,1,4
25,1,19
25,1,80
25,1,102
25,1,108
25,1,111
25,1,122
25,1,132
25,1,159
25,1,174
25,1,175
25,1,187
25,1,188
25,1,216
25,1,260
25,2,14
25,2,26
25,2,28
25,2,29
25,2,37
25,2,84
25,2,125
25,2,128
25,2,144
25,2,152
25,2,165
25,2,174
25,2,185
25,2,199
25,2,204
25,2,234
25,2,240
25,2,241
25,2,243
25,2,249
25,3,14
25,3,32
25,3,52
25,3,57
25,3,59
25,3,74
25,3,94
25,3,114
25,3,126
25,3,163
25,3,168
25,3,170
25,3,193
25,3,194
25,3,195
25,3,196
25,3,210
25,3,261
25,3,282
25,4,0
25,4,11
25,4,12
25,4,37
25,4,48
25,4,107
25,4,112
25,4,138
25,4,143
25,4,149
25,4,159
25,4,167
25,4,171
25,4,194
25,4,209
25,4,223
25,4,240
25,4,261
25,4,269
25,4,273
25,4,277
25,5,8
25,5,15
25,5,47
25,5,75
25,5,86
25,5,101
25,5,147
25,5,204
25,5,207
25,5,208
25,5,220
25,5,257
25,5,270
25,5,284
25,6,6
25,6,16
25,6,29
25,6,31
25,6,33
25,6,36
25,6,44
25,6,66
25,6,71
25,6,93
25,6,104
25,6,149
25,6,154
25,6,174
25,6,175
25,6,180
25,6,206
25,6,216
25,6,221
25,6,222
25,6,224
25,6,226
25,6,229
25,6,236
25,6,248
25,6,260
25,6,273
25,6,285
25,7,6
25,7,12
25,7,40
25,7,57
25,7,62
25,7,65
25,7,66
25,7,71
25,7,79
25,7,102
25,7,107
25,7,123
25,7,129
25,7,173
25,7,174
25,7,190
25,7,191
25,7,193
25,7,194
25,7,232
25,7,237
25,7,239
25,7,244
25,7,257
25,7,258
25,7,262
25,7,268
25,8,2
25,8,10
25,8,12
25,8,32
25,8,33
25,8,39
25,8,48
25,8,58
25,8,64
25,8,68
25,8,74
25,8,94
25,8,96
25,8,103
25,8,151
25,8,160
25,8,170
25,8,218
25,8,219
25,8,227
25,8,244
25,8,279
25,9,43
25,9,62
25,9,67
25,9,105
25,9,108
25,9,114
25,9,118
25,9,124
25,9,174
25,9,215
25,9,235
25,9,243
25,9,246
25,9,260
25,9,261
25,9,270
25,9,274
25,9,286
25,10,15
25,10,29
25,10,48
25,10,54
25,10,56
25,10,77
25,10,101
25,10,111
25,10,122
25,10,135
25,10,192
25,10,198
25,10,223
25,10,238
25,10,252
25,10,265
25,10,271
25,10,275
25,10,287
50,1,9
50,1,48
50,1,87
50,1,96
50,1,117
50,1,130
50,2,61
50,2,87
50,2,120
50,2,121
50,2,124
50,3,26
50,3,87
50,3,130
50,4,71
50,5,43
50,5,108
50,6,3
50,6,14
50,6,15
50,6,87
50,6,90
50,6,108
50,6,113
50,6,118
50,7,33
50,7,51
50,7,95
50,7,97
50,8,16
50,8,19
50,8,24
50,8,37
50,8,78
50,9,39
50,10,7
50,10,28
50,10,137
100,1,4
100,1,60
100,2,60
100,5,51
100,6,7
100,6,59
100,7,16
