sample_size,group,%_LAM,%_MWS,%_PBS
25,1,29.1666666667,66.3194444444,4.51388888889
25,2,29.5138888889,64.9305555556,5.55555555556
25,3,37.8472222222,55.9027777778,6.25
25,4,31.9444444444,63.5416666667,4.51388888889
25,5,20.8333333333,72.2222222222,6.94444444444
25,6,29.8611111111,64.5833333333,5.55555555556
25,7,27.0833333333,69.4444444444,3.47222222222
25,8,28.125,67.0138888889,4.86111111111
25,9,29.5138888889,64.2361111111,6.25
25,10,31.9444444444,63.1944444444,4.86111111111
50,1,28.4722222222,63.8888888889,7.63888888889
50,2,36.1111111111,60.4166666667,3.47222222222
50,3,39.5833333333,50.6944444444,9.72222222222
50,4,34.7222222222,57.6388888889,7.63888888889
50,5,26.3888888889,64.5833333333,9.02777777778
50,6,28.4722222222,59.0277777778,12.5
50,7,24.3055555556,72.2222222222,3.47222222222
50,8,30.5555555556,63.8888888889,5.55555555556
50,9,31.25,63.1944444444,5.55555555556
50,10,43.0555555556,52.7777777778,4.16666666667
100,1,33.3333333333,61.1111111111,5.55555555556
100,2,33.3333333333,61.1111111111,5.55555555556
100,3,41.6666666667,50.0,8.33333333333
100,4,34.7222222222,55.5555555556,9.72222222222
100,5,31.9444444444,54.1666666667,13.8888888889
100,6,29.1666666667,56.9444444444,13.8888888889
100,7,30.5555555556,65.2777777778,4.16666666667
100,8,26.3888888889,70.8333333333,2.77777777778
100,9,25.0,63.8888888889,11.1111111111
100,10,40.2777777778,50.0,9.72222222222
200,1,16.6666666667,75.0,8.33333333333
200,2,50.0,47.2222222222,2.77777777778
200,3,44.4444444444,41.6666666667,13.8888888889
200,4,30.5555555556,61.1111111111,8.33333333333
200,5,30.5555555556,63.8888888889,5.55555555556
200,6,36.1111111111,52.7777777778,11.1111111111
200,7,22.2222222222,77.7777777778,0.0
200,8,25.0,69.4444444444,5.55555555556
200,9,19.4444444444,77.7777777778,2.77777777778
200,10,30.5555555556,63.8888888889,5.55555555556
