sample_size,group,%_LAM,%_MWS,%_PBS
25,1,29.8611111111,64.5833333333,5.55555555556
25,2,26.3888888889,66.6666666667,6.94444444444
25,3,34.0277777778,59.375,6.59722222222
25,4,35.4166666667,57.2916666667,7.29166666667
25,5,14.5833333333,80.5555555556,4.86111111111
25,6,20.8333333333,69.4444444444,9.72222222222
25,7,24.3055555556,66.3194444444,9.375
25,8,28.8194444444,63.5416666667,7.63888888889
25,9,24.3055555556,69.4444444444,6.25
25,10,30.2083333333,63.1944444444,6.59722222222
50,1,23.6111111111,72.2222222222,4.16666666667
50,2,20.1388888889,76.3888888889,3.47222222222
50,3,25.0,72.9166666667,2.08333333333
50,4,34.7222222222,64.5833333333,0.694444444444
50,5,6.25,92.3611111111,1.38888888889
50,6,13.8888888889,80.5555555556,5.55555555556
50,7,18.0555555556,79.1666666667,2.77777777778
50,8,11.8055555556,84.7222222222,3.47222222222
50,9,15.2777777778,84.0277777778,0.694444444444
50,10,23.6111111111,74.3055555556,2.08333333333
100,1,12.5,84.7222222222,2.77777777778
100,2,18.0555555556,80.5555555556,1.38888888889
100,3,16.6666666667,83.3333333333,0.0
100,4,22.2222222222,77.7777777778,0.0
100,5,5.55555555556,93.0555555556,1.38888888889
100,6,5.55555555556,91.6666666667,2.77777777778
100,7,5.55555555556,93.0555555556,1.38888888889
100,8,8.33333333333,91.6666666667,0.0
100,9,6.94444444444,93.0555555556,0.0
100,10,13.8888888889,86.1111111111,0.0
200,1,11.1111111111,88.8888888889,0.0
200,2,11.1111111111,88.8888888889,0.0
200,3,13.8888888889,86.1111111111,0.0
200,4,22.2222222222,77.7777777778,0.0
200,5,0.0,100.0,0.0
200,6,5.55555555556,94.4444444444,0.0
200,7,2.77777777778,97.2222222222,0.0
200,8,5.55555555556,94.4444444444,0.0
200,9,5.55555555556,94.4444444444,0.0
200,10,2.77777777778,97.2222222222,0.0
