sample_size,fold,true_MWS_pred_MWS,true_MWS_pred_PBS,true_PBS_pred_MWS,true_PBS_pred_PBS
100,1,42.7419354839,7.25806451613,25.0,25.0
100,2,44.3548387097,5.64516129032,18.5483870968,31.4516129032
100,3,35.4838709677,14.5161290323,20.1612903226,29.8387096774
100,4,37.0967741935,12.9032258065,25.0,25.0
100,5,37.9032258065,12.0967741935,25.0,25.0
100,6,39.5161290323,10.4838709677,20.9677419355,29.0322580645
100,7,37.7049180328,12.2950819672,22.131147541,27.868852459
100,8,40.1639344262,9.83606557377,18.8524590164,31.1475409836
100,9,37.7049180328,12.2950819672,16.393442623,33.606557377
100,10,40.1639344262,9.83606557377,11.4754098361,38.5245901639
200,1,45.1612903226,4.83870967742,24.1935483871,25.8064516129
200,2,46.7741935484,3.22580645161,27.4193548387,22.5806451613
200,3,38.7096774194,11.2903225806,19.3548387097,30.6451612903
200,4,43.5483870968,6.45161290323,16.1290322581,33.8709677419
200,5,43.5483870968,6.45161290323,16.1290322581,33.8709677419
200,6,48.3870967742,1.61290322581,19.3548387097,30.6451612903
200,7,43.5483870968,6.45161290323,11.2903225806,38.7096774194
200,8,43.5483870968,6.45161290323,14.5161290323,35.4838709677
200,9,45.0,5.0,10.0,40.0
200,10,43.3333333333,6.66666666667,10.0,40.0
400,1,46.875,3.125,9.375,40.625
400,2,50.0,0.0,6.25,43.75
400,3,43.75,6.25,9.375,40.625
400,4,43.75,6.25,21.875,28.125
400,5,46.6666666667,3.33333333333,10.0,40.0
400,6,46.6666666667,3.33333333333,10.0,40.0
400,7,46.6666666667,3.33333333333,6.66666666667,43.3333333333
400,8,46.6666666667,3.33333333333,6.66666666667,43.3333333333
400,9,40.0,10.0,3.33333333333,46.6666666667
400,10,43.3333333333,6.66666666667,3.33333333333,46.6666666667
800,1,43.75,6.25,12.5,37.5
800,2,50.0,0.0,6.25,43.75
800,3,43.75,6.25,6.25,43.75
800,4,50.0,0.0,0.0,50.0
800,5,50.0,0.0,6.25,43.75
800,6,50.0,0.0,0.0,50.0
800,7,37.5,12.5,6.25,43.75
800,8,50.0,0.0,0.0,50.0
800,9,50.0,0.0,7.14285714286,42.8571428571
800,10,50.0,0.0,0.0,50.0
