sample_size,fold,true_MWS_pred_MWS,true_MWS_pred_PBS,true_PBS_pred_MWS,true_PBS_pred_PBS
100,1,34.6774193548,15.3225806452,15.3225806452,34.6774193548
100,2,34.6774193548,15.3225806452,10.4838709677,39.5161290323
100,3,26.6129032258,23.3870967742,10.4838709677,39.5161290323
100,4,35.4838709677,14.5161290323,10.4838709677,39.5161290323
100,5,37.9032258065,12.0967741935,25.0,25.0
100,6,29.8387096774,20.1612903226,15.3225806452,34.6774193548
100,7,26.2295081967,23.7704918033,7.37704918033,42.6229508197
100,8,22.131147541,27.868852459,9.01639344262,40.9836065574
100,9,35.2459016393,14.7540983607,7.37704918033,42.6229508197
100,10,31.9672131148,18.0327868852,4.91803278689,45.0819672131
200,1,45.1612903226,4.83870967742,11.2903225806,38.7096774194
200,2,46.7741935484,3.22580645161,17.7419354839,32.2580645161
200,3,38.7096774194,11.2903225806,6.45161290323,43.5483870968
200,4,33.8709677419,16.1290322581,9.67741935484,40.3225806452
200,5,33.8709677419,16.1290322581,19.3548387097,30.6451612903
200,6,38.7096774194,11.2903225806,8.06451612903,41.935483871
200,7,22.5806451613,27.4193548387,3.22580645161,46.7741935484
200,8,24.1935483871,25.8064516129,6.45161290323,43.5483870968
200,9,35.0,15.0,3.33333333333,46.6666666667
200,10,33.3333333333,16.6666666667,1.66666666667,48.3333333333
400,1,43.75,6.25,12.5,37.5
400,2,43.75,6.25,3.125,46.875
400,3,34.375,15.625,6.25,43.75
400,4,43.75,6.25,6.25,43.75
400,5,40.0,10.0,20.0,30.0
400,6,33.3333333333,16.6666666667,13.3333333333,36.6666666667
400,7,23.3333333333,26.6666666667,0.0,50.0
400,8,16.6666666667,33.3333333333,0.0,50.0
400,9,36.6666666667,13.3333333333,0.0,50.0
400,10,40.0,10.0,0.0,50.0
800,1,43.75,6.25,6.25,43.75
800,2,50.0,0.0,6.25,43.75
800,3,43.75,6.25,6.25,43.75
800,4,37.5,12.5,0.0,50.0
800,5,37.5,12.5,6.25,43.75
800,6,31.25,18.75,6.25,43.75
800,7,12.5,37.5,0.0,50.0
800,8,28.5714285714,21.4285714286,0.0,50.0
800,9,42.8571428571,7.14285714286,0.0,50.0
800,10,35.7142857143,14.2857142857,7.14285714286,42.8571428571
