sample_size,group,sample_index
100,1,12
100,1,22
100,1,25
100,1,34
100,1,62
100,2,18
100,2,31
100,2,65
100,2,71
100,3,7
100,3,24
100,3,40
100,3,63
100,4,12
100,4,15
100,4,30
100,4,55
100,5,12
100,5,49
100,5,50
100,5,60
100,5,70
100,5,71
100,6,10
100,6,50
100,6,62
100,6,63
100,6,65
100,7,19
100,7,23
100,7,67
100,8,50
100,8,53
100,8,57
100,9,1
100,9,70
100,10,14
100,10,29
100,10,58
100,10,62
200,1,17
200,1,32
200,2,15
200,3,4
200,3,9
200,3,12
200,3,20
200,3,35
200,4,6
200,4,23
200,6,31
200,8,0
200,8,18
200,8,28
200,8,35
400,3,15
400,8,14
800,4,0
