sample_size,group,%_MWS,%_PBS
100,1,93.0555555556,6.94444444444
100,2,94.4444444444,5.55555555556
100,3,94.4444444444,5.55555555556
100,4,94.4444444444,5.55555555556
100,5,91.6666666667,8.33333333333
100,6,93.0555555556,6.94444444444
100,7,95.8333333333,4.16666666667
100,8,95.8333333333,4.16666666667
100,9,97.2222222222,2.77777777778
100,10,94.4444444444,5.55555555556
200,1,94.4444444444,5.55555555556
200,2,97.2222222222,2.77777777778
200,3,86.1111111111,13.8888888889
200,4,94.4444444444,5.55555555556
200,5,100.0,0.0
200,6,97.2222222222,2.77777777778
200,7,100.0,0.0
200,8,88.8888888889,11.1111111111
200,9,100.0,0.0
200,10,100.0,0.0
400,1,100.0,0.0
400,2,100.0,0.0
400,3,94.4444444444,5.55555555556
400,4,100.0,0.0
400,5,100.0,0.0
400,6,100.0,0.0
400,7,100.0,0.0
400,8,94.4444444444,5.55555555556
400,9,100.0,0.0
400,10,100.0,0.0
800,1,100.0,0.0
800,2,100.0,0.0
800,3,100.0,0.0
800,4,88.8888888889,11.1111111111
800,5,100.0,0.0
800,6,100.0,0.0
800,7,100.0,0.0
800,8,100.0,0.0
800,9,100.0,0.0
800,10,100.0,0.0
