sample_size,group,%_MWS,%_PBS
100,1,95.8333333333,4.16666666667
100,2,97.2222222222,2.77777777778
100,3,97.2222222222,2.77777777778
100,4,97.2222222222,2.77777777778
100,5,98.6111111111,1.38888888889
100,6,100.0,0.0
100,7,98.6111111111,1.38888888889
100,8,100.0,0.0
100,9,98.6111111111,1.38888888889
100,10,98.6111111111,1.38888888889
200,1,100.0,0.0
200,2,100.0,0.0
200,3,97.2222222222,2.77777777778
200,4,100.0,0.0
200,5,97.2222222222,2.77777777778
200,6,100.0,0.0
200,7,100.0,0.0
200,8,100.0,0.0
200,9,100.0,0.0
200,10,100.0,0.0
400,1,100.0,0.0
400,2,100.0,0.0
400,3,100.0,0.0
400,4,100.0,0.0
400,5,94.4444444444,5.55555555556
400,6,100.0,0.0
400,7,100.0,0.0
400,8,100.0,0.0
400,9,100.0,0.0
400,10,100.0,0.0
800,1,100.0,0.0
800,2,100.0,0.0
800,3,100.0,0.0
800,4,100.0,0.0
800,5,100.0,0.0
800,6,100.0,0.0
800,7,100.0,0.0
800,8,100.0,0.0
800,9,100.0,0.0
800,10,100.0,0.0
