sample_size,fold,true_MWS_pred_MWS,true_MWS_pred_PBS,true_PBS_pred_MWS,true_PBS_pred_PBS
100,1,42.7419354839,7.25806451613,13.7096774194,36.2903225806
100,2,45.1612903226,4.83870967742,12.9032258065,37.0967741935
100,3,37.9032258065,12.0967741935,9.67741935484,40.3225806452
100,4,37.9032258065,12.0967741935,9.67741935484,40.3225806452
100,5,43.5483870968,6.45161290323,10.4838709677,39.5161290323
100,6,43.5483870968,6.45161290323,15.3225806452,34.6774193548
100,7,40.9836065574,9.01639344262,9.83606557377,40.1639344262
100,8,40.1639344262,9.83606557377,4.91803278689,45.0819672131
100,9,40.1639344262,9.83606557377,4.09836065574,45.9016393443
100,10,41.8032786885,8.19672131148,2.45901639344,47.5409836066
200,1,41.935483871,8.06451612903,6.45161290323,43.5483870968
200,2,50.0,0.0,4.83870967742,45.1612903226
200,3,37.0967741935,12.9032258065,4.83870967742,45.1612903226
200,4,45.1612903226,4.83870967742,3.22580645161,46.7741935484
200,5,46.7741935484,3.22580645161,3.22580645161,46.7741935484
200,6,50.0,0.0,9.67741935484,40.3225806452
200,7,46.7741935484,3.22580645161,6.45161290323,43.5483870968
200,8,43.5483870968,6.45161290323,3.22580645161,46.7741935484
200,9,43.3333333333,6.66666666667,0.0,50.0
200,10,43.3333333333,6.66666666667,0.0,50.0
400,1,46.875,3.125,6.25,43.75
400,2,50.0,0.0,6.25,43.75
400,3,43.75,6.25,3.125,46.875
400,4,46.875,3.125,0.0,50.0
400,5,50.0,0.0,0.0,50.0
400,6,50.0,0.0,6.66666666667,43.3333333333
400,7,50.0,0.0,3.33333333333,46.6666666667
400,8,46.6666666667,3.33333333333,0.0,50.0
400,9,46.6666666667,3.33333333333,0.0,50.0
400,10,43.3333333333,6.66666666667,3.33333333333,46.6666666667
800,1,50.0,0.0,0.0,50.0
800,2,50.0,0.0,6.25,43.75
800,3,50.0,0.0,0.0,50.0
800,4,50.0,0.0,0.0,50.0
800,5,50.0,0.0,0.0,50.0
800,6,50.0,0.0,0.0,50.0
800,7,50.0,0.0,0.0,50.0
800,8,50.0,0.0,0.0,50.0
800,9,50.0,0.0,0.0,50.0
800,10,50.0,0.0,0.0,50.0
