sample_size,fold,true_MWS_pred_MWS,true_MWS_pred_PBS,true_PBS_pred_MWS,true_PBS_pred_PBS
25,1,39.4,10.6,12.8,37.2
25,2,42,8,13.2,36.8
25,3,35.2,14.8,13.6,36.4
25,4,36.8,13.2,12.6,37.4
25,5,36.4,13.6,18,32
25,6,39,11,14,36
25,7,31.72690763,18.27309237,11.04417671,38.95582329
25,8,31.3253012,18.6746988,11.64658635,38.35341365
25,9,32.53012048,17.46987952,10.64257028,39.35742972
25,10,35.74297189,14.25702811,10.44176707,39.55823293
50,1,42,8,10,40
50,2,46,4,11.2,38.8
50,3,35.2,14.8,9.6,40.4
50,4,40,10,12.8,37.2
50,5,39.2,10.8,15.2,34.8
50,6,42.8,7.2,15.2,34.8
50,7,36,14,10.4,39.6
50,8,36.4,13.6,8,42
50,9,36.69354839,13.30645161,7.661290323,42.33870968
50,10,41.93548387,8.064516129,7.661290323,42.33870968
100,1,42.06349206,7.936507937,6.349206349,43.65079365
100,2,46.82539683,3.174603175,7.936507937,42.06349206
100,3,34.12698413,15.87301587,7.936507937,42.06349206
100,4,42.06349206,7.936507937,11.11111111,38.88888889
100,5,44.35483871,5.64516129,12.09677419,37.90322581
100,6,46.77419355,3.225806452,16.93548387,33.06451613
100,7,37.90322581,12.09677419,10.48387097,39.51612903
100,8,37.09677419,12.90322581,6.451612903,43.5483871
100,9,38.70967742,11.29032258,5.64516129,44.35483871
100,10,46.77419355,3.225806452,8.064516129,41.93548387
200,1,45.3125,4.6875,1.5625,48.4375
200,2,50,0,12.5,37.5
200,3,38.70967742,11.29032258,3.225806452,46.77419355
200,4,46.77419355,3.225806452,4.838709677,45.16129032
200,5,48.38709677,1.612903226,9.677419355,40.32258065
200,6,48.38709677,1.612903226,9.677419355,40.32258065
200,7,38.70967742,11.29032258,1.612903226,48.38709677
200,8,41.93548387,8.064516129,4.838709677,45.16129032
200,9,37.09677419,12.90322581,1.612903226,48.38709677
200,10,48.38709677,1.612903226,3.225806452,46.77419355
400,1,50,0,3.125,46.875
400,2,50,0,15.625,34.375
400,3,43.75,6.25,0,50
400,4,50,0,3.125,46.875
400,5,46.66666667,3.333333333,0,50
400,6,50,0,0,50
400,7,43.33333333,6.666666667,3.333333333,46.66666667
400,8,43.33333333,6.666666667,3.333333333,46.66666667
400,9,43.33333333,6.666666667,0,50
400,10,50,0,0,50
800,1,50,0,0,50
800,2,50,0,18.75,31.25
800,3,50,0,0,50
800,4,50,0,6.25,43.75
800,5,50,0,0,50
800,6,50,0,12.5,37.5
800,7,37.5,12.5,0,50
800,8,42.85714286,7.142857143,0,50
800,9,35.71428571,14.28571429,0,50
800,10,50,0,0,50
