sample_size,group,sample_index
100,1,6
100,1,12
100,1,17
100,1,25
100,1,34
100,1,50
100,1,57
100,1,64
100,1,66
100,2,21
100,2,31
100,2,36
100,2,37
100,2,38
100,2,62
100,2,64
100,2,65
100,3,2
100,3,7
100,3,10
100,3,12
100,3,15
100,3,21
100,3,24
100,3,25
100,3,34
100,3,36
100,3,39
100,3,40
100,3,49
100,3,53
100,3,59
100,3,66
100,4,8
100,4,13
100,4,15
100,4,30
100,4,38
100,4,42
100,4,50
100,4,60
100,4,69
100,5,3
100,5,4
100,5,25
100,5,32
100,5,39
100,5,48
100,5,49
100,5,53
100,5,54
100,5,56
100,5,60
100,5,64
100,5,69
100,6,0
100,6,5
100,6,7
100,6,10
100,6,12
100,6,13
100,6,15
100,6,24
100,6,35
100,6,50
100,6,59
100,6,65
100,7,23
100,7,44
100,7,47
100,7,59
100,7,60
100,7,62
100,8,3
100,8,33
100,8,58
100,8,59
100,8,62
100,8,64
100,8,65
100,8,66
100,9,1
100,9,11
100,9,23
100,9,31
100,9,35
100,9,36
100,9,39
100,9,42
100,9,63
100,10,5
100,10,14
100,10,31
100,10,36
100,10,38
100,10,41
100,10,54
100,10,58
100,10,62
100,10,70
200,1,2
200,1,6
200,1,12
200,1,17
200,1,32
200,1,33
200,2,9
200,2,10
200,2,14
200,2,15
200,2,32
200,3,6
200,3,12
200,3,15
200,3,17
200,3,18
200,3,26
200,3,31
200,3,33
200,4,6
200,4,7
200,4,25
200,4,29
200,5,19
200,5,20
200,6,7
200,6,12
200,6,21
200,6,31
200,6,32
200,7,19
200,7,22
200,8,29
200,8,30
200,8,32
200,9,19
200,9,21
200,9,31
200,10,2
200,10,27
200,10,31
400,1,6
400,1,16
400,2,7
400,3,15
400,4,3
800,3,7
