sample_size,group,%_MWS,%_PBS
25,1,89.9305555556,10.0694444444
25,2,90.2777777778,9.72222222222
25,3,86.1111111111,13.8888888889
25,4,89.5833333333,10.4166666667
25,5,87.8472222222,12.1527777778
25,6,89.2361111111,10.7638888889
25,7,93.4027777778,6.59722222222
25,8,90.625,9.375
25,9,89.5833333333,10.4166666667
25,10,92.0138888889,7.98611111111
50,1,86.8055555556,13.1944444444
50,2,87.5,12.5
50,3,81.25,18.75
50,4,86.8055555556,13.1944444444
50,5,84.0277777778,15.9722222222
50,6,84.7222222222,15.2777777778
50,7,92.3611111111,7.63888888889
50,8,86.8055555556,13.1944444444
50,9,88.1944444444,11.8055555556
50,10,91.6666666667,8.33333333333
100,1,87.5,12.5
100,2,88.8888888889,11.1111111111
100,3,77.7777777778,22.2222222222
100,4,87.5,12.5
100,5,81.9444444444,18.0555555556
100,6,84.7222222222,15.2777777778
100,7,91.6666666667,8.33333333333
100,8,90.2777777778,9.72222222222
100,9,86.1111111111,13.8888888889
100,10,86.1111111111,13.8888888889
200,1,83.3333333333,16.6666666667
200,2,86.1111111111,13.8888888889
200,3,77.7777777778,22.2222222222
200,4,88.8888888889,11.1111111111
200,5,94.4444444444,5.55555555556
200,6,86.1111111111,13.8888888889
200,7,94.4444444444,5.55555555556
200,8,91.6666666667,8.33333333333
200,9,91.6666666667,8.33333333333
200,10,91.6666666667,8.33333333333
