sample_size,group,%_MWS,%_PBS
25,1,90.27777778,9.722222222
25,2,87.84722222,12.15277778
25,3,87.84722222,12.15277778
25,4,85.06944444,14.93055556
25,5,93.40277778,6.597222222
25,6,88.88888889,11.11111111
25,7,88.54166667,11.45833333
25,8,88.19444444,11.80555556
25,9,90.27777778,9.722222222
25,10,85.76388889,14.23611111
50,1,92.36111111,7.638888889
50,2,95.13888889,4.861111111
50,3,97.22222222,2.777777778
50,4,92.36111111,7.638888889
50,5,97.91666667,2.083333333
50,6,93.75,6.25
50,7,95.13888889,4.861111111
50,8,95.83333333,4.166666667
50,9,97.91666667,2.083333333
50,10,94.44444444,5.555555556
100,1,97.22222222,2.777777778
100,2,97.22222222,2.777777778
100,3,100,0
100,4,97.22222222,2.777777778
100,5,98.61111111,1.388888889
100,6,97.22222222,2.777777778
100,7,98.61111111,1.388888889
100,8,98.61111111,1.388888889
100,9,100,0
100,10,100,0
200,1,100,0
200,2,100,0
200,3,100,0
200,4,100,0
200,5,100,0
200,6,100,0
200,7,100,0
200,8,100,0
200,9,100,0
200,10,100,0
400,1,100,0
400,2,100,0
400,3,100,0
400,4,94.44444444,5.555555556
400,5,100,0
400,6,100,0
400,7,100,0
400,8,100,0
400,9,100,0
400,10,100,0
800,1,100,0
800,2,100,0
800,3,100,0
800,4,100,0
800,5,100,0
800,6,100,0
800,7,100,0
800,8,100,0
800,9,100,0
800,10,100,0
